nutrient_id,nutrient_name,unit,sex,old_age_range,recommended_amount,new_age_start,new_age_end
7,Thiamin (B1),(mg),Persons,14-18,1.7,15,17.0
8,Riboflavin (B2),(mg),Persons,14-18,1.9,15,17.0
9,Niacin (B3),(mg),Persons,14-18,22.0,15,17.0
10,Total Folates,(µg),Persons,14-18,499.7,15,17.0
11,Vitamin B6,(mg),Persons,14-18,1.3,15,17.0
12,Vitamin C,(mg),Persons,14-18,102.9,15,17.0
13,Vitamin E,(mg),Persons,14-18,9.7,15,17.0
14,Calcium,(mg),Persons,14-18,833.4,15,17.0
15,Iron,(mg),Persons,14-18,10.8,15,17.0
16,Magnesium,(mg),Persons,14-18,290.5,15,17.0
17,Potassium,(mg),Persons,14-18,2649.3,15,17.0
18,Sodium(e),(mg),Persons,14-18,2760.9,15,17.0
19,Zinc,(mg),Persons,14-18,10.8,15,17.0
1,Energy(a),(kJ),Males,19-30,11003.7,18,24.0
1,Energy(a),(kJ),Males,19-30,11003.7,25,34.0
2,Protein,(g),Males,19-30,117.2,18,24.0
2,Protein,(g),Males,19-30,117.2,25,34.0
3,Total Fat(c),(g),Males,19-30,92.5,18,24.0
3,Total Fat(c),(g),Males,19-30,92.5,25,34.0
4,Carbohydrate(c),(g),Males,19-30,297.2,18,24.0
4,Carbohydrate(c),(g),Males,19-30,297.2,25,34.0
5,Total sugars,(g),Males,19-30,131.0,18,24.0
5,Total sugars,(g),Males,19-30,131.0,25,34.0
6,Dietary Fibre,(g),Males,19-30,24.4,18,24.0
6,Dietary Fibre,(g),Males,19-30,24.4,25,34.0
7,Thiamin (B1),(mg),Males,19-30,1.9,18,24.0
7,Thiamin (B1),(mg),Males,19-30,1.9,25,34.0
8,Riboflavin (B2),(mg),Males,19-30,2.4,18,24.0
8,Riboflavin (B2),(mg),Males,19-30,2.4,25,34.0
9,Niacin (B3),(mg),Males,19-30,31.6,18,24.0
9,Niacin (B3),(mg),Males,19-30,31.6,25,34.0
10,Total Folates,(µg),Males,19-30,546.4,18,24.0
10,Total Folates,(µg),Males,19-30,546.4,25,34.0
11,Vitamin B6,(mg),Males,19-30,2.2,18,24.0
11,Vitamin B6,(mg),Males,19-30,2.2,25,34.0
12,Vitamin C,(mg),Males,19-30,116.8,18,24.0
12,Vitamin C,(mg),Males,19-30,116.8,25,34.0
13,Vitamin E,(mg),Males,19-30,12.4,18,24.0
13,Vitamin E,(mg),Males,19-30,12.4,25,34.0
14,Calcium,(mg),Males,19-30,954.3,18,24.0
14,Calcium,(mg),Males,19-30,954.3,25,34.0
15,Iron,(mg),Males,19-30,13.5,18,24.0
15,Iron,(mg),Males,19-30,13.5,25,34.0
16,Magnesium,(mg),Males,19-30,390.6,18,24.0
16,Magnesium,(mg),Males,19-30,390.6,25,34.0
17,Potassium,(mg),Males,19-30,3279.9,18,24.0
17,Potassium,(mg),Males,19-30,3279.9,25,34.0
18,Sodium(e),(mg),Males,19-30,3120.2,18,24.0
18,Sodium(e),(mg),Males,19-30,3120.2,25,34.0
19,Zinc,(mg),Males,19-30,13.5,18,24.0
19,Zinc,(mg),Males,19-30,13.5,25,34.0
1,Energy(a),(kJ),Females,19-30,7863.1,18,24.0
1,Energy(a),(kJ),Females,19-30,7863.1,25,34.0
2,Protein,(g),Females,19-30,78.1,18,24.0
2,Protein,(g),Females,19-30,78.1,25,34.0
3,Total Fat(c),(g),Females,19-30,69.9,18,24.0
3,Total Fat(c),(g),Females,19-30,69.9,25,34.0
4,Carbohydrate(c),(g),Females,19-30,213.7,18,24.0
4,Carbohydrate(c),(g),Females,19-30,213.7,25,34.0
5,Total sugars,(g),Females,19-30,99.0,18,24.0
5,Total sugars,(g),Females,19-30,99.0,25,34.0
6,Dietary Fibre,(g),Females,19-30,20.3,18,24.0
6,Dietary Fibre,(g),Females,19-30,20.3,25,34.0
7,Thiamin (B1),(mg),Females,19-30,1.4,18,24.0
7,Thiamin (B1),(mg),Females,19-30,1.4,25,34.0
8,Riboflavin (B2),(mg),Females,19-30,1.8,18,24.0
8,Riboflavin (B2),(mg),Females,19-30,1.8,25,34.0
9,Niacin (B3),(mg),Females,19-30,20.5,18,24.0
9,Niacin (B3),(mg),Females,19-30,20.5,25,34.0
10,Total Folates,(µg),Females,19-30,424.5,18,24.0
10,Total Folates,(µg),Females,19-30,424.5,25,34.0
11,Vitamin B6,(mg),Females,19-30,1.4,18,24.0
11,Vitamin B6,(mg),Females,19-30,1.4,25,34.0
12,Vitamin C,(mg),Females,19-30,96.4,18,24.0
12,Vitamin C,(mg),Females,19-30,96.4,25,34.0
13,Vitamin E,(mg),Females,19-30,10.0,18,24.0
13,Vitamin E,(mg),Females,19-30,10.0,25,34.0
14,Calcium,(mg),Females,19-30,765.3,18,24.0
14,Calcium,(mg),Females,19-30,765.3,25,34.0
15,Iron,(mg),Females,19-30,9.7,18,24.0
15,Iron,(mg),Females,19-30,9.7,25,34.0
16,Magnesium,(mg),Females,19-30,291.9,18,24.0
16,Magnesium,(mg),Females,19-30,291.9,25,34.0
17,Potassium,(mg),Females,19-30,2509.7,18,24.0
17,Potassium,(mg),Females,19-30,2509.7,25,34.0
18,Sodium(e),(mg),Females,19-30,2303.4,18,24.0
18,Sodium(e),(mg),Females,19-30,2303.4,25,34.0
19,Zinc,(mg),Females,19-30,9.2,18,24.0
19,Zinc,(mg),Females,19-30,9.2,25,34.0
1,Energy(a),(kJ),Persons,19-30,9465.5,18,24.0
1,Energy(a),(kJ),Persons,19-30,9465.5,25,34.0
2,Protein,(g),Persons,19-30,98.0,18,24.0
2,Protein,(g),Persons,19-30,98.0,25,34.0
3,Total Fat(c),(g),Persons,19-30,81.4,18,24.0
3,Total Fat(c),(g),Persons,19-30,81.4,25,34.0
4,Carbohydrate(c),(g),Persons,19-30,256.3,18,24.0
4,Carbohydrate(c),(g),Persons,19-30,256.3,25,34.0
5,Total sugars,(g),Persons,19-30,115.3,18,24.0
5,Total sugars,(g),Persons,19-30,115.3,25,34.0
6,Dietary Fibre,(g),Persons,19-30,22.4,18,24.0
6,Dietary Fibre,(g),Persons,19-30,22.4,25,34.0
7,Thiamin (B1),(mg),Persons,19-30,1.7,18,24.0
7,Thiamin (B1),(mg),Persons,19-30,1.7,25,34.0
8,Riboflavin (B2),(mg),Persons,19-30,2.1,18,24.0
8,Riboflavin (B2),(mg),Persons,19-30,2.1,25,34.0
9,Niacin (B3),(mg),Persons,19-30,26.2,18,24.0
9,Niacin (B3),(mg),Persons,19-30,26.2,25,34.0
10,Total Folates,(µg),Persons,19-30,486.7,18,24.0
10,Total Folates,(µg),Persons,19-30,486.7,25,34.0
11,Vitamin B6,(mg),Persons,19-30,1.8,18,24.0
11,Vitamin B6,(mg),Persons,19-30,1.8,25,34.0
12,Vitamin C,(mg),Persons,19-30,106.8,18,24.0
12,Vitamin C,(mg),Persons,19-30,106.8,25,34.0
13,Vitamin E,(mg),Persons,19-30,11.2,18,24.0
13,Vitamin E,(mg),Persons,19-30,11.2,25,34.0
14,Calcium,(mg),Persons,19-30,861.7,18,24.0
14,Calcium,(mg),Persons,19-30,861.7,25,34.0
15,Iron,(mg),Persons,19-30,11.6,18,24.0
15,Iron,(mg),Persons,19-30,11.6,25,34.0
16,Magnesium,(mg),Persons,19-30,342.2,18,24.0
16,Magnesium,(mg),Persons,19-30,342.2,25,34.0
17,Potassium,(mg),Persons,19-30,2902.7,18,24.0
17,Potassium,(mg),Persons,19-30,2902.7,25,34.0
18,Sodium(e),(mg),Persons,19-30,2720.2,18,24.0
18,Sodium(e),(mg),Persons,19-30,2720.2,25,34.0
19,Zinc,(mg),Persons,19-30,11.4,18,24.0
19,Zinc,(mg),Persons,19-30,11.4,25,34.0
1,Energy(a),(kJ),Males,31-50,10219.9,35,44.0
1,Energy(a),(kJ),Males,31-50,10219.9,45,54.0
2,Protein,(g),Males,31-50,107.7,35,44.0
2,Protein,(g),Males,31-50,107.7,45,54.0
3,Total Fat(c),(g),Males,31-50,86.3,35,44.0
3,Total Fat(c),(g),Males,31-50,86.3,45,54.0
4,Carbohydrate(c),(g),Males,31-50,263.9,35,44.0
4,Carbohydrate(c),(g),Males,31-50,263.9,45,54.0
5,Total sugars,(g),Males,31-50,119.4,35,44.0
5,Total sugars,(g),Males,31-50,119.4,45,54.0
6,Dietary Fibre,(g),Males,31-50,24.9,35,44.0
6,Dietary Fibre,(g),Males,31-50,24.9,45,54.0
7,Thiamin (B1),(mg),Males,31-50,1.7,35,44.0
7,Thiamin (B1),(mg),Males,31-50,1.7,45,54.0
8,Riboflavin (B2),(mg),Males,31-50,2.2,35,44.0
8,Riboflavin (B2),(mg),Males,31-50,2.2,45,54.0
9,Niacin (B3),(mg),Males,31-50,28.9,35,44.0
9,Niacin (B3),(mg),Males,31-50,28.9,45,54.0
10,Total Folates,(µg),Males,31-50,535.5,35,44.0
10,Total Folates,(µg),Males,31-50,535.5,45,54.0
11,Vitamin B6,(mg),Males,31-50,1.8,35,44.0
11,Vitamin B6,(mg),Males,31-50,1.8,45,54.0
12,Vitamin C,(mg),Males,31-50,110.6,35,44.0
12,Vitamin C,(mg),Males,31-50,110.6,45,54.0
13,Vitamin E,(mg),Males,31-50,11.7,35,44.0
13,Vitamin E,(mg),Males,31-50,11.7,45,54.0
14,Calcium,(mg),Males,31-50,910.8,35,44.0
14,Calcium,(mg),Males,31-50,910.8,45,54.0
15,Iron,(mg),Males,31-50,12.7,35,44.0
15,Iron,(mg),Males,31-50,12.7,45,54.0
16,Magnesium,(mg),Males,31-50,392.6,35,44.0
16,Magnesium,(mg),Males,31-50,392.6,45,54.0
17,Potassium,(mg),Males,31-50,3305.8,35,44.0
17,Potassium,(mg),Males,31-50,3305.8,45,54.0
18,Sodium(e),(mg),Males,31-50,2915.4,35,44.0
18,Sodium(e),(mg),Males,31-50,2915.4,45,54.0
19,Zinc,(mg),Males,31-50,12.9,35,44.0
19,Zinc,(mg),Males,31-50,12.9,45,54.0
1,Energy(a),(kJ),Females,31-50,7539.6,35,44.0
1,Energy(a),(kJ),Females,31-50,7539.6,45,54.0
2,Protein,(g),Females,31-50,79.7,35,44.0
2,Protein,(g),Females,31-50,79.7,45,54.0
3,Total Fat(c),(g),Females,31-50,65.3,35,44.0
3,Total Fat(c),(g),Females,31-50,65.3,45,54.0
4,Carbohydrate(c),(g),Females,31-50,196.5,35,44.0
4,Carbohydrate(c),(g),Females,31-50,196.5,45,54.0
5,Total sugars,(g),Females,31-50,91.1,35,44.0
5,Total sugars,(g),Females,31-50,91.1,45,54.0
6,Dietary Fibre,(g),Females,31-50,20.7,35,44.0
6,Dietary Fibre,(g),Females,31-50,20.7,45,54.0
7,Thiamin (B1),(mg),Females,31-50,1.3,35,44.0
7,Thiamin (B1),(mg),Females,31-50,1.3,45,54.0
8,Riboflavin (B2),(mg),Females,31-50,1.7,35,44.0
8,Riboflavin (B2),(mg),Females,31-50,1.7,45,54.0
9,Niacin (B3),(mg),Females,31-50,20.6,35,44.0
9,Niacin (B3),(mg),Females,31-50,20.6,45,54.0
10,Total Folates,(µg),Females,31-50,424.2,35,44.0
10,Total Folates,(µg),Females,31-50,424.2,45,54.0
11,Vitamin B6,(mg),Females,31-50,1.3,35,44.0
11,Vitamin B6,(mg),Females,31-50,1.3,45,54.0
12,Vitamin C,(mg),Females,31-50,93.7,35,44.0
12,Vitamin C,(mg),Females,31-50,93.7,45,54.0
13,Vitamin E,(mg),Females,31-50,9.9,35,44.0
13,Vitamin E,(mg),Females,31-50,9.9,45,54.0
14,Calcium,(mg),Females,31-50,758.1,35,44.0
14,Calcium,(mg),Females,31-50,758.1,45,54.0
15,Iron,(mg),Females,31-50,9.6,35,44.0
15,Iron,(mg),Females,31-50,9.6,45,54.0
16,Magnesium,(mg),Females,31-50,308.8,35,44.0
16,Magnesium,(mg),Females,31-50,308.8,45,54.0
17,Potassium,(mg),Females,31-50,2659.6,35,44.0
17,Potassium,(mg),Females,31-50,2659.6,45,54.0
18,Sodium(e),(mg),Females,31-50,2153.9,35,44.0
18,Sodium(e),(mg),Females,31-50,2153.9,45,54.0
19,Zinc,(mg),Females,31-50,9.4,35,44.0
19,Zinc,(mg),Females,31-50,9.4,45,54.0
1,Energy(a),(kJ),Persons,31-50,8871.9,35,44.0
1,Energy(a),(kJ),Persons,31-50,8871.9,45,54.0
2,Protein,(g),Persons,31-50,93.6,35,44.0
2,Protein,(g),Persons,31-50,93.6,45,54.0
3,Total Fat(c),(g),Persons,31-50,75.8,35,44.0
3,Total Fat(c),(g),Persons,31-50,75.8,45,54.0
4,Carbohydrate(c),(g),Persons,31-50,230.0,35,44.0
4,Carbohydrate(c),(g),Persons,31-50,230.0,45,54.0
5,Total sugars,(g),Persons,31-50,105.2,35,44.0
5,Total sugars,(g),Persons,31-50,105.2,45,54.0
6,Dietary Fibre,(g),Persons,31-50,22.8,35,44.0
6,Dietary Fibre,(g),Persons,31-50,22.8,45,54.0
7,Thiamin (B1),(mg),Persons,31-50,1.5,35,44.0
7,Thiamin (B1),(mg),Persons,31-50,1.5,45,54.0
8,Riboflavin (B2),(mg),Persons,31-50,1.9,35,44.0
8,Riboflavin (B2),(mg),Persons,31-50,1.9,45,54.0
9,Niacin (B3),(mg),Persons,31-50,24.7,35,44.0
9,Niacin (B3),(mg),Persons,31-50,24.7,45,54.0
10,Total Folates,(µg),Persons,31-50,479.5,35,44.0
10,Total Folates,(µg),Persons,31-50,479.5,45,54.0
11,Vitamin B6,(mg),Persons,31-50,1.5,35,44.0
11,Vitamin B6,(mg),Persons,31-50,1.5,45,54.0
12,Vitamin C,(mg),Persons,31-50,102.1,35,44.0
12,Vitamin C,(mg),Persons,31-50,102.1,45,54.0
13,Vitamin E,(mg),Persons,31-50,10.8,35,44.0
13,Vitamin E,(mg),Persons,31-50,10.8,45,54.0
14,Calcium,(mg),Persons,31-50,834.0,35,44.0
14,Calcium,(mg),Persons,31-50,834.0,45,54.0
15,Iron,(mg),Persons,31-50,11.1,35,44.0
15,Iron,(mg),Persons,31-50,11.1,45,54.0
16,Magnesium,(mg),Persons,31-50,350.5,35,44.0
16,Magnesium,(mg),Persons,31-50,350.5,45,54.0
17,Potassium,(mg),Persons,31-50,2980.8,35,44.0
17,Potassium,(mg),Persons,31-50,2980.8,45,54.0
18,Sodium(e),(mg),Persons,31-50,2532.5,35,44.0
18,Sodium(e),(mg),Persons,31-50,2532.5,45,54.0
19,Zinc,(mg),Persons,31-50,11.1,35,44.0
19,Zinc,(mg),Persons,31-50,11.1,45,54.0
1,Energy(a),(kJ),Males,51-70,9344.7,55,64.0
1,Energy(a),(kJ),Males,51-70,9344.7,65,
2,Protein,(g),Males,51-70,97.5,55,64.0
2,Protein,(g),Males,51-70,97.5,65,
3,Total Fat(c),(g),Males,51-70,78.6,55,64.0
3,Total Fat(c),(g),Males,51-70,78.6,65,
4,Carbohydrate(c),(g),Males,51-70,233.8,55,64.0
4,Carbohydrate(c),(g),Males,51-70,233.8,65,
5,Total sugars,(g),Males,51-70,101.0,55,64.0
5,Total sugars,(g),Males,51-70,101.0,65,
6,Dietary Fibre,(g),Males,51-70,24.8,55,64.0
6,Dietary Fibre,(g),Males,51-70,24.8,65,
7,Thiamin (B1),(mg),Males,51-70,1.7,55,64.0
7,Thiamin (B1),(mg),Males,51-70,1.7,65,
8,Riboflavin (B2),(mg),Males,51-70,1.9,55,64.0
8,Riboflavin (B2),(mg),Males,51-70,1.9,65,
9,Niacin (B3),(mg),Males,51-70,25.9,55,64.0
9,Niacin (B3),(mg),Males,51-70,25.9,65,
10,Total Folates,(µg),Males,51-70,520.7,55,64.0
10,Total Folates,(µg),Males,51-70,520.7,65,
11,Vitamin B6,(mg),Males,51-70,1.5,55,64.0
11,Vitamin B6,(mg),Males,51-70,1.5,65,
12,Vitamin C,(mg),Males,51-70,107.1,55,64.0
12,Vitamin C,(mg),Males,51-70,107.1,65,
13,Vitamin E,(mg),Males,51-70,10.4,55,64.0
13,Vitamin E,(mg),Males,51-70,10.4,65,
14,Calcium,(mg),Males,51-70,780.8,55,64.0
14,Calcium,(mg),Males,51-70,780.8,65,
15,Iron,(mg),Males,51-70,12.2,55,64.0
15,Iron,(mg),Males,51-70,12.2,65,
16,Magnesium,(mg),Males,51-70,364.4,55,64.0
16,Magnesium,(mg),Males,51-70,364.4,65,
17,Potassium,(mg),Males,51-70,3144.2,55,64.0
17,Potassium,(mg),Males,51-70,3144.2,65,
18,Sodium(e),(mg),Males,51-70,2509.8,55,64.0
18,Sodium(e),(mg),Males,51-70,2509.8,65,
19,Zinc,(mg),Males,51-70,12.1,55,64.0
19,Zinc,(mg),Males,51-70,12.1,65,
1,Energy(a),(kJ),Females,51-70,7268.1,55,64.0
1,Energy(a),(kJ),Females,51-70,7268.1,65,
2,Protein,(g),Females,51-70,77.9,55,64.0
2,Protein,(g),Females,51-70,77.9,65,
3,Total Fat(c),(g),Females,51-70,62.0,55,64.0
3,Total Fat(c),(g),Females,51-70,62.0,65,
4,Carbohydrate(c),(g),Females,51-70,183.6,55,64.0
4,Carbohydrate(c),(g),Females,51-70,183.6,65,
5,Total sugars,(g),Females,51-70,87.0,55,64.0
5,Total sugars,(g),Females,51-70,87.0,65,
6,Dietary Fibre,(g),Females,51-70,22.2,55,64.0
6,Dietary Fibre,(g),Females,51-70,22.2,65,
7,Thiamin (B1),(mg),Females,51-70,1.3,55,64.0
7,Thiamin (B1),(mg),Females,51-70,1.3,65,
8,Riboflavin (B2),(mg),Females,51-70,1.6,55,64.0
8,Riboflavin (B2),(mg),Females,51-70,1.6,65,
9,Niacin (B3),(mg),Females,51-70,19.7,55,64.0
9,Niacin (B3),(mg),Females,51-70,19.7,65,
10,Total Folates,(µg),Females,51-70,438.7,55,64.0
10,Total Folates,(µg),Females,51-70,438.7,65,
11,Vitamin B6,(mg),Females,51-70,1.3,55,64.0
11,Vitamin B6,(mg),Females,51-70,1.3,65,
12,Vitamin C,(mg),Females,51-70,97.3,55,64.0
12,Vitamin C,(mg),Females,51-70,97.3,65,
13,Vitamin E,(mg),Females,51-70,10.0,55,64.0
13,Vitamin E,(mg),Females,51-70,10.0,65,
14,Calcium,(mg),Females,51-70,740.7,55,64.0
14,Calcium,(mg),Females,51-70,740.7,65,
15,Iron,(mg),Females,51-70,9.9,55,64.0
15,Iron,(mg),Females,51-70,9.9,65,
16,Magnesium,(mg),Females,51-70,313.3,55,64.0
16,Magnesium,(mg),Females,51-70,313.3,65,
17,Potassium,(mg),Females,51-70,2699.9,55,64.0
17,Potassium,(mg),Females,51-70,2699.9,65,
18,Sodium(e),(mg),Females,51-70,1972.1,55,64.0
18,Sodium(e),(mg),Females,51-70,1972.1,65,
19,Zinc,(mg),Females,51-70,9.8,55,64.0
19,Zinc,(mg),Females,51-70,9.8,65,
1,Energy(a),(kJ),Persons,51-70,8289.6,55,64.0
1,Energy(a),(kJ),Persons,51-70,8289.6,65,
2,Protein,(g),Persons,51-70,87.5,55,64.0
2,Protein,(g),Persons,51-70,87.5,65,
3,Total Fat(c),(g),Persons,51-70,70.2,55,64.0
3,Total Fat(c),(g),Persons,51-70,70.2,65,
4,Carbohydrate(c),(g),Persons,51-70,208.3,55,64.0
4,Carbohydrate(c),(g),Persons,51-70,208.3,65,
5,Total sugars,(g),Persons,51-70,93.9,55,64.0
5,Total sugars,(g),Persons,51-70,93.9,65,
6,Dietary Fibre,(g),Persons,51-70,23.5,55,64.0
6,Dietary Fibre,(g),Persons,51-70,23.5,65,
7,Thiamin (B1),(mg),Persons,51-70,1.5,55,64.0
7,Thiamin (B1),(mg),Persons,51-70,1.5,65,
8,Riboflavin (B2),(mg),Persons,51-70,1.8,55,64.0
8,Riboflavin (B2),(mg),Persons,51-70,1.8,65,
9,Niacin (B3),(mg),Persons,51-70,22.8,55,64.0
9,Niacin (B3),(mg),Persons,51-70,22.8,65,
10,Total Folates,(µg),Persons,51-70,479.1,55,64.0
10,Total Folates,(µg),Persons,51-70,479.1,65,
11,Vitamin B6,(mg),Persons,51-70,1.4,55,64.0
11,Vitamin B6,(mg),Persons,51-70,1.4,65,
12,Vitamin C,(mg),Persons,51-70,102.1,55,64.0
12,Vitamin C,(mg),Persons,51-70,102.1,65,
13,Vitamin E,(mg),Persons,51-70,10.2,55,64.0
13,Vitamin E,(mg),Persons,51-70,10.2,65,
14,Calcium,(mg),Persons,51-70,760.5,55,64.0
14,Calcium,(mg),Persons,51-70,760.5,65,
15,Iron,(mg),Persons,51-70,11.0,55,64.0
15,Iron,(mg),Persons,51-70,11.0,65,
16,Magnesium,(mg),Persons,51-70,338.5,55,64.0
16,Magnesium,(mg),Persons,51-70,338.5,65,
17,Potassium,(mg),Persons,51-70,2918.5,55,64.0
17,Potassium,(mg),Persons,51-70,2918.5,65,
18,Sodium(e),(mg),Persons,51-70,2236.6,55,64.0
18,Sodium(e),(mg),Persons,51-70,2236.6,65,
19,Zinc,(mg),Persons,51-70,10.9,55,64.0
19,Zinc,(mg),Persons,51-70,10.9,65,
