alco_sex,alco_category_group,alco_category,alco_age_group,alco_estimate_000
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,15–17,10.3
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,15–17,12.5
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,15–17,3.0
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,15–17,10.8
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,15–17,0.0
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,15–17,18.2
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total males, 15 years and over",15–17,471.3
Females,Exceeded guideline,Consumed more than 10 drinks in the last week,15–17,9.5
Females,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,15–17,6.6
Females,Exceeded guideline,Total exceeded guideline,15–17,17.8
Females,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,15–17,33.9
Females,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,15–17,97.9
Females,Did not exceed guideline,Never consumed alcohol,15–17,283.9
Females,Did not exceed guideline,Consumed alcohol 12 or more months ago,15–17,10.5
Females,Did not exceed guideline,Total did not exceed guideline,15–17,428.2
Females,Did not exceed guideline,"Total females, 15 years and over",15–17,444.7
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,15–17,0.0
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,15–17,0.0
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,15–17,0.0
Females,Number of standard drinks consumed in a week when exceeding the guideline,Total females who exceeded guideline and consumed in the last week,15–17,9.5
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,15–17,0.0
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,15–17,6.3
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,15–17,0.0
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total females who exceeded guideline and consumed in the last month,15–17,6.6
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total females, 15 years and over",15–17,444.7
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,18–24,318.6
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,18–24,732.9
Persons,Exceeded guideline,Total exceeded guideline,18–24,783.6
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,18–24,432.0
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,18–24,545.8
Persons,Did not exceed guideline,Never consumed alcohol,18–24,300.9
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,18–24,90.3
Persons,Did not exceed guideline,Total did not exceed guideline,18–24,1385.2
Persons,Did not exceed guideline,"Total persons, 15 years and over",18–24,2171.9
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,18–24,59.4
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,18–24,35.5
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,18–24,219.6
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,18–24,318.6
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,18–24,267.5
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,18–24,245.3
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,18–24,237.9
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,18–24,732.9
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",18–24,2171.9
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,18–24,212.6
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,18–24,446.1
Males,Exceeded guideline,Total exceeded guideline,18–24,470.6
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,18–24,187.3
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,18–24,255.6
Males,Did not exceed guideline,Never consumed alcohol,18–24,161.5
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,18–24,31.1
Males,Did not exceed guideline,Total did not exceed guideline,18–24,648.8
Males,Did not exceed guideline,"Total males, 15 years and over",18–24,1112.0
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,18–24,51.2
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,18–24,29.2
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,18–24,137.2
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,18–24,212.6
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,18–24,139.6
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,18–24,139.5
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,18–24,172.7
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,18–24,446.1
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total males, 15 years and over",18–24,1112.0
Females,Exceeded guideline,Consumed more than 10 drinks in the last week,18–24,114.4
Females,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,18–24,290.7
Females,Exceeded guideline,Total exceeded guideline,18–24,304.1
Females,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,18–24,247.1
Females,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,18–24,287.2
Females,Did not exceed guideline,Never consumed alcohol,18–24,135.5
Females,Did not exceed guideline,Consumed alcohol 12 or more months ago,18–24,63.8
Females,Did not exceed guideline,Total did not exceed guideline,18–24,735.5
Females,Did not exceed guideline,"Total females, 15 years and over",18–24,1053.1
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,18–24,17.7
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,18–24,4.2
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,18–24,86.6
Females,Number of standard drinks consumed in a week when exceeding the guideline,Total females who exceeded guideline and consumed in the last week,18–24,114.4
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,18–24,128.5
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,18–24,107.7
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,18–24,55.5
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total females who exceeded guideline and consumed in the last month,18–24,290.7
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total females, 15 years and over",18–24,1053.1
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,25–34,508.9
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,25–34,860.3
Persons,Exceeded guideline,Total exceeded guideline,25–34,948.8
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,25–34,939.5
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,25–34,1004.3
Persons,Did not exceed guideline,Never consumed alcohol,25–34,413.7
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,25–34,336.4
Persons,Did not exceed guideline,Total did not exceed guideline,25–34,2696.1
Persons,Did not exceed guideline,"Total persons, 15 years and over",25–34,3686.3
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,25–34,65.8
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,25–34,72.4
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,25–34,367.3
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,25–34,511.7
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,25–34,310.6
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,25–34,303.1
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,25–34,241.2
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,25–34,860.3
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",25–34,3686.3
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,25–34,370.9
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,25–34,564.3
Males,Exceeded guideline,Total exceeded guideline,25–34,627.2
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,25–34,418.4
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,25–34,437.6
Males,Did not exceed guideline,Never consumed alcohol,25–34,209.8
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,25–34,117.7
Males,Did not exceed guideline,Total did not exceed guideline,25–34,1182.7
Males,Did not exceed guideline,"Total males, 15 years and over",25–34,1832.4
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,25–34,47.9
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,25–34,51.1
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,25–34,275.8
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,25–34,370.6
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,25–34,187.5
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,25–34,189.2
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,25–34,192.0
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,25–34,564.3
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total males, 15 years and over",25–34,1832.4
Females,Exceeded guideline,Consumed more than 10 drinks in the last week,25–34,140.9
Females,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,25–34,286.5
Females,Exceeded guideline,Total exceeded guideline,25–34,323.5
Females,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,25–34,521.0
Females,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,25–34,580.4
Females,Did not exceed guideline,Never consumed alcohol,25–34,209.4
Females,Did not exceed guideline,Consumed alcohol 12 or more months ago,25–34,214.0
Females,Did not exceed guideline,Total did not exceed guideline,25–34,1518.9
Females,Did not exceed guideline,"Total females, 15 years and over",25–34,1850.2
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,25–34,16.7
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,25–34,20.4
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,25–34,96.4
Females,Number of standard drinks consumed in a week when exceeding the guideline,Total females who exceeded guideline and consumed in the last week,25–34,140.9
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,25–34,118.4
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,25–34,120.1
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,25–34,42.6
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total females who exceeded guideline and consumed in the last month,25–34,286.5
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total females, 15 years and over",25–34,1850.2
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,35–44,636.0
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,35–44,734.1
Persons,Exceeded guideline,Total exceeded guideline,35–44,890.6
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,35–44,1091.8
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,35–44,807.8
Persons,Did not exceed guideline,Never consumed alcohol,35–44,356.2
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,35–44,366.0
Persons,Did not exceed guideline,Total did not exceed guideline,35–44,2628.0
Persons,Did not exceed guideline,"Total persons, 15 years and over",35–44,3557.3
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,35–44,129.9
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,35–44,73.8
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,35–44,425.5
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,35–44,636.0
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,35–44,277.6
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,35–44,259.8
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,35–44,188.8
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,35–44,734.1
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",35–44,3557.3
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,35–44,454.0
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,35–44,519.7
Males,Exceeded guideline,Total exceeded guideline,35–44,622.2
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,35–44,510.5
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,35–44,331.1
Males,Did not exceed guideline,Never consumed alcohol,35–44,133.1
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,35–44,136.0
Males,Did not exceed guideline,Total did not exceed guideline,35–44,1115.4
Males,Did not exceed guideline,"Total males, 15 years and over",35–44,1749.0
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,35–44,93.0
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,35–44,59.8
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,35–44,301.5
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,35–44,454.0
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,35–44,183.3
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,35–44,190.7
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,35–44,140.0
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,35–44,519.7
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total males, 15 years and over",35–44,1749.0
Females,Exceeded guideline,Consumed more than 10 drinks in the last week,35–44,181.3
Females,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,35–44,213.2
Females,Exceeded guideline,Total exceeded guideline,35–44,266.1
Females,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,35–44,581.5
Females,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,35–44,482.2
Females,Did not exceed guideline,Never consumed alcohol,35–44,222.9
Females,Did not exceed guideline,Consumed alcohol 12 or more months ago,35–44,231.1
Females,Did not exceed guideline,Total did not exceed guideline,35–44,1522.9
Females,Did not exceed guideline,"Total females, 15 years and over",35–44,1805.1
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,35–44,42.1
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,35–44,19.5
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,35–44,120.0
Females,Number of standard drinks consumed in a week when exceeding the guideline,Total females who exceeded guideline and consumed in the last week,35–44,181.3
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,35–44,104.6
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,35–44,68.7
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,35–44,41.4
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total females who exceeded guideline and consumed in the last month,35–44,213.2
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total females, 15 years and over",35–44,1805.1
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,45–54,665.6
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,45–54,682.1
Persons,Exceeded guideline,Total exceeded guideline,45–54,894.0
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,45–54,933.7
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,45–54,705.6
Persons,Did not exceed guideline,Never consumed alcohol,45–54,291.3
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,45–54,373.5
Persons,Did not exceed guideline,Total did not exceed guideline,45–54,2299.8
Persons,Did not exceed guideline,"Total persons, 15 years and over",45–54,3226.7
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,45–54,117.4
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,45–54,77.8
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,45–54,477.9
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,45–54,665.6
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,45–54,323.2
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,45–54,193.4
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,45–54,168.4
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,45–54,682.1
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",45–54,3226.7
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,45–54,415.6
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,45–54,453.3
Males,Exceeded guideline,Total exceeded guideline,45–54,545.0
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,45–54,446.8
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,45–54,336.5
Males,Did not exceed guideline,Never consumed alcohol,45–54,86.2
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,45–54,156.0
Males,Did not exceed guideline,Total did not exceed guideline,45–54,1027.2
Males,Did not exceed guideline,"Total males, 15 years and over",45–54,1585.9
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,45–54,42.6
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,45–54,63.0
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,45–54,307.1
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,45–54,415.6
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,45–54,186.2
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,45–54,127.4
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,45–54,141.1
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,45–54,453.3
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total males, 15 years and over",45–54,1585.9
Females,Exceeded guideline,Consumed more than 10 drinks in the last week,45–54,256.0
Females,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,45–54,233.2
Females,Exceeded guideline,Total exceeded guideline,45–54,340.0
Females,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,45–54,475.7
Females,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,45–54,371.4
Females,Did not exceed guideline,Never consumed alcohol,45–54,203.9
Females,Did not exceed guideline,Consumed alcohol 12 or more months ago,45–54,212.0
Females,Did not exceed guideline,Total did not exceed guideline,45–54,1271.7
Females,Did not exceed guideline,"Total females, 15 years and over",45–54,1641.5
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,45–54,73.7
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,45–54,10.1
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,45–54,166.2
Females,Number of standard drinks consumed in a week when exceeding the guideline,Total females who exceeded guideline and consumed in the last week,45–54,256.0
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,45–54,132.7
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,45–54,63.3
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,45–54,32.8
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total females who exceeded guideline and consumed in the last month,45–54,233.2
Females,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total females, 15 years and over",45–54,1641.5
Persons,Exceeded guideline,Consumed more than 10 drinks in the last week,55–64,731.8
Persons,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,55–64,593.6
Persons,Exceeded guideline,Total exceeded guideline,55–64,876.1
Persons,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,55–64,877.3
Persons,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,55–64,551.4
Persons,Did not exceed guideline,Never consumed alcohol,55–64,266.8
Persons,Did not exceed guideline,Consumed alcohol 12 or more months ago,55–64,334.2
Persons,Did not exceed guideline,Total did not exceed guideline,55–64,2034.0
Persons,Did not exceed guideline,"Total persons, 15 years and over",55–64,2973.3
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,55–64,111.6
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,55–64,95.2
Persons,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,55–64,522.6
Persons,Number of standard drinks consumed in a week when exceeding the guideline,Total persons who exceeded guideline and consumed in the last week,55–64,731.8
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,55–64,269.7
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,55–64,176.6
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,55–64,151.1
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total persons who exceeded guideline and consumed in the last month,55–64,593.6
Persons,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total persons, 15 years and over",55–64,2973.3
Males,Exceeded guideline,Consumed more than 10 drinks in the last week,55–64,476.2
Males,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,55–64,441.6
Males,Exceeded guideline,Total exceeded guideline,55–64,585.4
Males,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,55–64,376.1
Males,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,55–64,226.4
Males,Did not exceed guideline,Never consumed alcohol,55–64,84.7
Males,Did not exceed guideline,Consumed alcohol 12 or more months ago,55–64,149.5
Males,Did not exceed guideline,Total did not exceed guideline,55–64,839.5
Males,Did not exceed guideline,"Total males, 15 years and over",55–64,1445.2
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,55–64,62.3
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,55–64,58.3
Males,Number of standard drinks consumed in a week when exceeding the guideline,More than 14,55–64,347.1
Males,Number of standard drinks consumed in a week when exceeding the guideline,Total males who exceeded guideline and consumed in the last week,55–64,476.2
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,5 to less than 7,55–64,177.4
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,7 to less than 11,55–64,132.4
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,11 or more,55–64,136.2
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,Total males who exceeded guideline and consumed in the last month,55–64,441.6
Males,Number of standard drinks consumed on a single day within the last month when exceeding the guideline,"Total males, 15 years and over",55–64,1445.2
Females,Exceeded guideline,Consumed more than 10 drinks in the last week,55–64,255.7
Females,Exceeded guideline,Consumed 5 or more drinks on any day in the last 12 months at least monthly,55–64,157.5
Females,Exceeded guideline,Total exceeded guideline,55–64,302.0
Females,Did not exceed guideline,Consumed alcohol in the last week but did not exceed guideline,55–64,492.8
Females,Did not exceed guideline,Did not consume alcohol in the last week but did less than 12 months ago and did not exceed guideline,55–64,328.2
Females,Did not exceed guideline,Never consumed alcohol,55–64,185.5
Females,Did not exceed guideline,Consumed alcohol 12 or more months ago,55–64,179.0
Females,Did not exceed guideline,Total did not exceed guideline,55–64,1193.3
Females,Did not exceed guideline,"Total females, 15 years and over",55–64,1529.0
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 10 to 12,55–64,41.6
Females,Number of standard drinks consumed in a week when exceeding the guideline,More than 12 to 14,55–64,36.6
