smoke_sex,smoke_category_group,smoke_category,smoke_age_group,smoke_estimate_000
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,18–24,23.2
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,18–24,13.0
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,18–24,13.1
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,18–24,159.0
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,18–24,7.2
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,18–24,202.5
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,18–24,626.2
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,18–24,825.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,18–24,1343.5
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,18–24,2171.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",18–24,2171.9
Males,Usual number of days smoked per week,1–2 days,18–24,32.9
Males,Usual number of days smoked per week,3–6 days,18–24,4.5
Males,Usual number of days smoked per week,Daily,18–24,103.1
Males,Usual number of days smoked per week,Total current daily or weekly smoker,18–24,127.8
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,18–24,42.1
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,18–24,19.2
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,18–24,8.8
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,18–24,13.0
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,18–24,13.1
Males,Usual number of cigarettes smoked per day,Total current daily smoker,18–24,103.1
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,18–24,8.8
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,18–24,124.1
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,18–24,346.2
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,18–24,472.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,18–24,654.2
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,18–24,1112.0
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",18–24,1112.0
Females,Usual number of days smoked per week,1–2 days,18–24,15.1
Females,Usual number of days smoked per week,3–6 days,18–24,0.0
Females,Usual number of days smoked per week,Daily,18–24,61.8
Females,Usual number of days smoked per week,Total current daily or weekly smoker,18–24,86.1
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,18–24,31.5
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,18–24,17.1
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,18–24,16.1
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,18–24,0.0
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,18–24,0.0
Females,Usual number of cigarettes smoked per day,Total current daily smoker,18–24,61.8
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,18–24,4.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,18–24,96.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,18–24,283.0
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,18–24,356.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,18–24,688.4
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,18–24,1053.1
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",18–24,1053.1
Persons,Usual number of days smoked per week,1–2 days,25–34,34.4
Persons,Usual number of days smoked per week,3–6 days,25–34,10.3
Persons,Usual number of days smoked per week,Daily,25–34,402.7
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,25–34,455.0
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,25–34,123.4
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,25–34,97.7
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,25–34,100.6
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,25–34,33.4
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,25–34,43.3
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,25–34,402.7
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,25–34,8.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,25–34,243.7
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,25–34,711.1
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,25–34,960.4
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,25–34,2718.3
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,25–34,3686.3
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",25–34,3686.3
Males,Usual number of days smoked per week,1–2 days,25–34,22.2
Males,Usual number of days smoked per week,3–6 days,25–34,7.3
Males,Usual number of days smoked per week,Daily,25–34,245.0
Males,Usual number of days smoked per week,Total current daily or weekly smoker,25–34,275.0
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,25–34,78.4
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,25–34,52.0
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,25–34,62.6
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,25–34,37.1
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,25–34,18.2
Males,Usual number of cigarettes smoked per day,Total current daily smoker,25–34,245.0
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,25–34,9.0
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,25–34,146.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,25–34,423.4
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,25–34,577.2
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,25–34,1255.4
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,25–34,1832.4
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",25–34,1832.4
Females,Usual number of days smoked per week,1–2 days,25–34,14.3
Females,Usual number of days smoked per week,3–6 days,25–34,4.2
Females,Usual number of days smoked per week,Daily,25–34,163.6
Females,Usual number of days smoked per week,Total current daily or weekly smoker,25–34,180.0
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,25–34,42.9
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,25–34,47.1
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,25–34,32.3
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,25–34,3.1
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,25–34,28.0
Females,Usual number of cigarettes smoked per day,Total current daily smoker,25–34,163.6
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,25–34,8.6
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,25–34,99.3
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,25–34,291.6
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,25–34,386.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,25–34,1457.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,25–34,1850.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",25–34,1850.2
Persons,Usual number of days smoked per week,1–2 days,35–44,17.3
Persons,Usual number of days smoked per week,3–6 days,35–44,10.3
Persons,Usual number of days smoked per week,Daily,35–44,387.0
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,35–44,422.7
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,35–44,63.3
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,35–44,77.1
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,35–44,97.2
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,35–44,67.9
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,35–44,76.0
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,35–44,387.0
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,35–44,11.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,35–44,165.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,35–44,329.2
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,35–44,492.5
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,35–44,3058.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,35–44,3557.3
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",35–44,3557.3
Males,Usual number of days smoked per week,1–2 days,35–44,6.4
Males,Usual number of days smoked per week,3–6 days,35–44,7.2
Males,Usual number of days smoked per week,Daily,35–44,235.7
Males,Usual number of days smoked per week,Total current daily or weekly smoker,35–44,257.0
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,35–44,44.6
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,35–44,52.6
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,35–44,54.9
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,35–44,32.7
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,35–44,53.2
Males,Usual number of cigarettes smoked per day,Total current daily smoker,35–44,235.7
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,35–44,12.0
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,35–44,115.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,35–44,223.9
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,35–44,331.7
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,35–44,1411.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,35–44,1749.0
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",35–44,1749.0
Females,Usual number of days smoked per week,1–2 days,35–44,9.3
Females,Usual number of days smoked per week,3–6 days,35–44,4.4
Females,Usual number of days smoked per week,Daily,35–44,153.0
Females,Usual number of days smoked per week,Total current daily or weekly smoker,35–44,159.4
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,35–44,21.9
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,35–44,26.0
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,35–44,41.2
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,35–44,36.2
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,35–44,17.8
Females,Usual number of cigarettes smoked per day,Total current daily smoker,35–44,153.0
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,35–44,11.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,35–44,53.8
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,35–44,109.3
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,35–44,157.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,35–44,1648.7
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,35–44,1805.1
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",35–44,1805.1
Persons,Usual number of days smoked per week,1–2 days,45–54,25.9
Persons,Usual number of days smoked per week,3–6 days,45–54,9.0
Persons,Usual number of days smoked per week,Daily,45–54,443.8
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,45–54,471.4
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,45–54,48.0
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,45–54,75.4
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,45–54,104.0
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,45–54,103.6
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,45–54,100.8
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,45–54,443.8
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,45–54,13.2
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,45–54,112.2
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,45–54,182.6
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,45–54,299.4
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,45–54,2922.7
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,45–54,3226.7
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",45–54,3226.7
Males,Usual number of days smoked per week,1–2 days,45–54,26.3
Males,Usual number of days smoked per week,3–6 days,45–54,3.1
Males,Usual number of days smoked per week,Daily,45–54,243.2
Males,Usual number of days smoked per week,Total current daily or weekly smoker,45–54,276.8
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,45–54,28.7
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,45–54,37.3
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,45–54,43.3
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,45–54,63.0
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,45–54,81.4
Males,Usual number of cigarettes smoked per day,Total current daily smoker,45–54,243.2
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,45–54,15.4
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,45–54,90.8
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,45–54,89.1
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,45–54,171.7
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,45–54,1410.4
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,45–54,1585.9
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",45–54,1585.9
Females,Usual number of days smoked per week,1–2 days,45–54,6.0
Females,Usual number of days smoked per week,3–6 days,45–54,7.2
Females,Usual number of days smoked per week,Daily,45–54,190.8
Females,Usual number of days smoked per week,Total current daily or weekly smoker,45–54,198.3
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,45–54,24.9
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,45–54,44.6
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,45–54,73.8
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,45–54,32.1
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,45–54,23.2
Females,Usual number of cigarettes smoked per day,Total current daily smoker,45–54,190.8
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,45–54,10.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,45–54,28.0
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,45–54,84.3
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,45–54,114.0
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,45–54,1519.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,45–54,1641.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",45–54,1641.5
Persons,Usual number of days smoked per week,1–2 days,55–64,21.9
Persons,Usual number of days smoked per week,3–6 days,55–64,4.1
Persons,Usual number of days smoked per week,Daily,55–64,443.2
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,55–64,461.0
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,55–64,51.8
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,55–64,87.3
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,55–64,96.7
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,55–64,68.3
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,55–64,146.2
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,55–64,443.2
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,55–64,14.2
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,55–64,34.1
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,55–64,141.2
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,55–64,178.9
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,55–64,2798.4
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,55–64,2973.3
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",55–64,2973.3
Males,Usual number of days smoked per week,1–2 days,55–64,4.7
Males,Usual number of days smoked per week,3–6 days,55–64,0.0
Males,Usual number of days smoked per week,Daily,55–64,251.4
Males,Usual number of days smoked per week,Total current daily or weekly smoker,55–64,256.1
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,55–64,21.3
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,55–64,45.3
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,55–64,50.2
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,55–64,18.6
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,55–64,112.2
Males,Usual number of cigarettes smoked per day,Total current daily smoker,55–64,251.4
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,55–64,15.9
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,55–64,17.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,55–64,74.1
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,55–64,103.6
Males,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,55–64,1355.5
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total males aged 15 years and over,55–64,1445.2
Males,Use of electronic cigarette (e-cigarette) / vaping device,"Total males, 15 years and over",55–64,1445.2
Females,Usual number of days smoked per week,1–2 days,55–64,6.8
Females,Usual number of days smoked per week,3–6 days,55–64,4.1
Females,Usual number of days smoked per week,Daily,55–64,183.2
Females,Usual number of days smoked per week,Total current daily or weekly smoker,55–64,203.5
Females,Usual number of cigarettes smoked per day,1 to 4 cigarettes,55–64,23.7
Females,Usual number of cigarettes smoked per day,5 to 9 cigarettes,55–64,40.4
Females,Usual number of cigarettes smoked per day,10 to 14 cigarettes,55–64,45.6
Females,Usual number of cigarettes smoked per day,15 to 19 cigarettes,55–64,39.8
Females,Usual number of cigarettes smoked per day,20 or more cigarettes,55–64,29.5
Females,Usual number of cigarettes smoked per day,Total current daily smoker,55–64,183.2
Females,Average number of cigarettes smoked per day (7 day average),Current daily smoker,55–64,11.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,55–64,17.5
Females,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,55–64,59.4
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,55–64,75.2
Females,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,55–64,1448.9
Females,Use of electronic cigarette (e-cigarette) / vaping device,Total females aged 15 years and over,55–64,1529.0
Females,Use of electronic cigarette (e-cigarette) / vaping device,"Total females, 15 years and over",55–64,1529.0
Persons,Usual number of days smoked per week,1–2 days,65 years and over,13.2
Persons,Usual number of days smoked per week,3–6 days,65 years and over,4.1
Persons,Usual number of days smoked per week,Daily,65 years and over,263.5
Persons,Usual number of days smoked per week,Total current daily or weekly smoker,65 years and over,281.5
Persons,Usual number of cigarettes smoked per day,1 to 4 cigarettes,65 years and over,42.5
Persons,Usual number of cigarettes smoked per day,5 to 9 cigarettes,65 years and over,70.3
Persons,Usual number of cigarettes smoked per day,10 to 14 cigarettes,65 years and over,44.5
Persons,Usual number of cigarettes smoked per day,15 to 19 cigarettes,65 years and over,44.4
Persons,Usual number of cigarettes smoked per day,20 or more cigarettes,65 years and over,69.8
Persons,Usual number of cigarettes smoked per day,Total current daily smoker,65 years and over,263.5
Persons,Average number of cigarettes smoked per day (7 day average),Current daily smoker,65 years and over,12.5
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,65 years and over,15.5
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,65 years and over,66.4
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,65 years and over,75.6
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Never used an e-cigarette / vaping device,65 years and over,4119.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,Total persons aged 15 years and over,65 years and over,4199.8
Persons,Use of electronic cigarette (e-cigarette) / vaping device,"Total persons, 15 years and over",65 years and over,4199.8
Males,Usual number of days smoked per week,1–2 days,65 years and over,0.3
Males,Usual number of days smoked per week,3–6 days,65 years and over,4.5
Males,Usual number of days smoked per week,Daily,65 years and over,148.3
Males,Usual number of days smoked per week,Total current daily or weekly smoker,65 years and over,152.8
Males,Usual number of cigarettes smoked per day,1 to 4 cigarettes,65 years and over,31.5
Males,Usual number of cigarettes smoked per day,5 to 9 cigarettes,65 years and over,37.8
Males,Usual number of cigarettes smoked per day,10 to 14 cigarettes,65 years and over,13.5
Males,Usual number of cigarettes smoked per day,15 to 19 cigarettes,65 years and over,17.8
Males,Usual number of cigarettes smoked per day,20 or more cigarettes,65 years and over,46.7
Males,Usual number of cigarettes smoked per day,Total current daily smoker,65 years and over,148.3
Males,Average number of cigarettes smoked per day (7 day average),Current daily smoker,65 years and over,13.3
Males,Use of electronic cigarette (e-cigarette) / vaping device,Currently uses an e-cigarette / vaping device,65 years and over,12.2
Males,Use of electronic cigarette (e-cigarette) / vaping device,Formerly used an e-cigarette / vaping device,65 years and over,31.9
Males,Use of electronic cigarette (e-cigarette) / vaping device,Total used an e-cigarette / vaping device,65 years and over,39.8
