data_year,survey_period,sex,age_group,risk_factor,disease,attributable_deaths,deaths,pct_deaths_total,attributable_yll,yll,pct_yll_total,attributable_yld,yld,pct_yld_total,attributable_daly,daly,pct_daly_total,disease_group
2003,2003,Females,35–44,Alcohol use,Other land transport injuries,1,5,,65.0,245.0,,43.0,162.0,,108.0,407.0,,
2003,2003,Females,35–44,Alcohol use,Other oral cavity and pharynx cancers,1,3,,32.0,133.0,,0.0,1.0,,33.0,134.0,,
2003,2003,Females,35–44,Alcohol use,Other unintentional injuries,1,12,,46.0,556.0,,22.0,281.0,,68.0,837.0,,
2003,2003,Females,35–44,Alcohol use,Pancreatitis,0,5,,15.0,241.0,,2.0,25.0,,17.0,266.0,,
2003,2003,Females,35–44,Alcohol use,Poisoning,6,65,,286.0,3046.0,,4.0,42.0,,289.0,3087.0,,
2003,2003,Females,35–44,Alcohol use,Road traffic injuries - motor vehicle occupants,10,43,,452.0,2028.0,,61.0,272.0,,513.0,2300.0,,
2003,2003,Females,35–44,Alcohol use,Road traffic injuries - motorcyclists,0,2,,23.0,105.0,,6.0,29.0,,30.0,134.0,,
2003,2003,Females,35–44,Alcohol use,Road traffic injuries - pedal cyclists,0,0,,0.0,0.0,,7.0,30.0,,7.0,30.0,,
2003,2003,Females,35–44,Alcohol use,Road traffic injuries - pedestrians,2,10,,111.0,506.0,,9.0,40.0,,120.0,545.0,,
2003,2003,Females,35–44,Alcohol use,Stroke,2,50,,91.0,2328.0,,3.0,207.0,,94.0,2535.0,,
2003,2003,Females,35–44,Alcohol use,Suicide and self-inflicted injuries,6,111,,279.0,5296.0,,7.0,136.0,,286.0,5432.0,,
2003,2003,Females,45–54,Alcohol use,Alcohol use disorders,6,6,,219.0,219.0,,2881.0,2881.0,,3099.0,3099.0,,
2003,2003,Females,45–54,Alcohol use,Atrial fibrillation and flutter,0,0,,0.0,0.0,,28.0,409.0,,28.0,409.0,,
2003,2003,Females,45–54,Alcohol use,Bowel cancer,7,159,,250.0,5891.0,,8.0,185.0,,258.0,6076.0,,
2003,2003,Females,45–54,Alcohol use,Breast cancer,40,444,,1484.0,16486.0,,120.0,1346.0,,1605.0,17832.0,,
2003,2003,Females,45–54,Alcohol use,Chronic liver disease,5,67,,190.0,2530.0,,9.0,123.0,,199.0,2653.0,,
2003,2003,Females,45–54,Alcohol use,Coronary heart disease,5,171,,194.0,6339.0,,47.0,1548.0,,242.0,7887.0,,
2003,2003,Females,45–54,Alcohol use,Drowning,1,9,,27.0,362.0,,0.0,2.0,,27.0,364.0,,
2003,2003,Females,45–54,Alcohol use,Epilepsy,2,13,,60.0,476.0,,237.0,1935.0,,297.0,2411.0,,
2003,2003,Females,45–54,Alcohol use,Falls,1,10,,21.0,378.0,,58.0,1060.0,,79.0,1438.0,,
2003,2003,Females,45–54,Alcohol use,"Fire, burns and scalds",0,2,,6.0,81.0,,4.0,57.0,,10.0,138.0,,
2003,2003,Females,45–54,Alcohol use,Homicide and violence,1,9,,27.0,336.0,,4.0,52.0,,31.0,388.0,,
2003,2003,Females,45–54,Alcohol use,Hypertensive heart disease,1,7,,25.0,255.0,,0.0,2.0,,25.0,257.0,,
2003,2003,Females,45–54,Alcohol use,Laryngeal cancer,0,2,,8.0,72.0,,0.0,3.0,,8.0,75.0,,
2003,2003,Females,45–54,Alcohol use,Lip and oral cavity cancer,2,10,,78.0,359.0,,6.0,31.0,,85.0,390.0,,
2003,2003,Females,45–54,Alcohol use,Liver cancer,6,25,,206.0,944.0,,1.0,6.0,,208.0,950.0,,
2003,2003,Females,45–54,Alcohol use,Lower respiratory infections,1,13,,31.0,491.0,,12.0,194.0,,43.0,684.0,,
2003,2003,Females,45–54,Alcohol use,Nasopharyngeal cancer,1,3,,23.0,111.0,,1.0,3.0,,24.0,114.0,,
2003,2003,Females,45–54,Alcohol use,Oesophageal cancer,2,15,,65.0,553.0,,1.0,5.0,,65.0,558.0,,
2003,2003,Females,45–54,Alcohol use,Other land transport injuries,1,2,,22.0,83.0,,21.0,86.0,,44.0,169.0,,
2003,2003,Females,45–54,Alcohol use,Other oral cavity and pharynx cancers,1,4,,32.0,150.0,,1.0,6.0,,34.0,157.0,,
2003,2003,Females,45–54,Alcohol use,Other unintentional injuries,1,8,,27.0,328.0,,15.0,223.0,,42.0,551.0,,
2003,2003,Females,45–54,Alcohol use,Pancreatitis,0,4,,9.0,149.0,,2.0,29.0,,11.0,178.0,,
2003,2003,Females,45–54,Alcohol use,Poisoning,5,49,,173.0,1845.0,,3.0,30.0,,176.0,1875.0,,
2003,2003,Females,45–54,Alcohol use,Road traffic injuries - motor vehicle occupants,8,39,,314.0,1481.0,,44.0,210.0,,358.0,1690.0,,
2003,2003,Females,45–54,Alcohol use,Road traffic injuries - motorcyclists,0,2,,17.0,78.0,,5.0,24.0,,22.0,103.0,,
2003,2003,Females,45–54,Alcohol use,Road traffic injuries - pedal cyclists,0,1,,6.0,34.0,,2.0,12.0,,9.0,45.0,,
2003,2003,Females,45–54,Alcohol use,Road traffic injuries - pedestrians,1,3,,26.0,121.0,,8.0,38.0,,34.0,159.0,,
2003,2003,Females,45–54,Alcohol use,Stroke,4,110,,155.0,4092.0,,5.0,355.0,,160.0,4448.0,,
2003,2003,Females,45–54,Alcohol use,Suicide and self-inflicted injuries,8,98,,318.0,3723.0,,8.0,88.0,,326.0,3811.0,,
2003,2003,Females,55–64,Alcohol use,Alcohol use disorders,14,14,,408.0,408.0,,882.0,882.0,,1290.0,1290.0,,
2003,2003,Females,55–64,Alcohol use,Atrial fibrillation and flutter,0,4,,9.0,119.0,,75.0,971.0,,84.0,1091.0,,
2003,2003,Females,55–64,Alcohol use,Bowel cancer,17,313,,468.0,8649.0,,20.0,364.0,,488.0,9013.0,,
2003,2003,Females,55–64,Alcohol use,Breast cancer,58,611,,1655.0,17360.0,,166.0,1744.0,,1821.0,19104.0,,
2003,2003,Females,55–64,Alcohol use,Chronic liver disease,6,83,,173.0,2311.0,,7.0,99.0,,181.0,2410.0,,
2003,2003,Females,55–64,Alcohol use,Coronary heart disease,16,387,,433.0,10718.0,,138.0,3409.0,,571.0,14126.0,,
2003,2003,Females,55–64,Alcohol use,Drowning,0,5,,8.0,148.0,,0.0,2.0,,9.0,149.0,,
2003,2003,Females,55–64,Alcohol use,Epilepsy,2,14,,49.0,398.0,,184.0,1506.0,,233.0,1904.0,,
2003,2003,Females,55–64,Alcohol use,Falls,1,16,,19.0,428.0,,49.0,1063.0,,68.0,1490.0,,
2003,2003,Females,55–64,Alcohol use,"Fire, burns and scalds",0,4,,6.0,113.0,,2.0,33.0,,8.0,147.0,,
2003,2003,Females,55–64,Alcohol use,Homicide and violence,0,4,,9.0,119.0,,3.0,39.0,,12.0,158.0,,
2003,2003,Females,55–64,Alcohol use,Hypertensive heart disease,1,12,,24.0,326.0,,0.0,4.0,,25.0,330.0,,
2003,2003,Females,55–64,Alcohol use,Laryngeal cancer,1,5,,17.0,136.0,,1.0,5.0,,17.0,142.0,,
2003,2003,Females,55–64,Alcohol use,Lip and oral cavity cancer,4,18,,107.0,518.0,,9.0,42.0,,116.0,560.0,,
2003,2003,Females,55–64,Alcohol use,Liver cancer,10,47,,284.0,1300.0,,2.0,10.0,,286.0,1310.0,,
2003,2003,Females,55–64,Alcohol use,Lower respiratory infections,3,45,,90.0,1277.0,,13.0,187.0,,103.0,1464.0,,
2003,2003,Females,55–64,Alcohol use,Nasopharyngeal cancer,1,6,,36.0,174.0,,1.0,5.0,,37.0,180.0,,
2003,2003,Females,55–64,Alcohol use,Oesophageal cancer,5,38,,137.0,1095.0,,2.0,16.0,,139.0,1111.0,,
2003,2003,Females,55–64,Alcohol use,Other land transport injuries,1,2,,16.0,68.0,,17.0,72.0,,33.0,140.0,,
2003,2003,Females,55–64,Alcohol use,Other oral cavity and pharynx cancers,3,16,,94.0,455.0,,2.0,9.0,,95.0,464.0,,
2003,2003,Females,55–64,Alcohol use,Other unintentional injuries,1,8,,15.0,242.0,,11.0,190.0,,26.0,432.0,,
2003,2003,Females,55–64,Alcohol use,Pancreatitis,1,11,,20.0,297.0,,2.0,28.0,,22.0,324.0,,
2003,2003,Females,55–64,Alcohol use,Poisoning,2,22,,57.0,613.0,,1.0,14.0,,59.0,627.0,,
2003,2003,Females,55–64,Alcohol use,Road traffic injuries - motor vehicle occupants,7,35,,196.0,996.0,,32.0,165.0,,228.0,1161.0,,
2003,2003,Females,55–64,Alcohol use,Road traffic injuries - motorcyclists,0,1,,7.0,33.0,,4.0,20.0,,11.0,53.0,,
2003,2003,Females,55–64,Alcohol use,Road traffic injuries - pedal cyclists,0,0,,0.0,1.0,,2.0,11.0,,2.0,11.0,,
2003,2003,Females,55–64,Alcohol use,Road traffic injuries - pedestrians,1,7,,42.0,210.0,,6.0,30.0,,47.0,240.0,,
2003,2003,Females,55–64,Alcohol use,Stroke,6,171,,178.0,4693.0,,9.0,524.0,,188.0,5217.0,,
2003,2003,Females,55–64,Alcohol use,Suicide and self-inflicted injuries,2,63,,56.0,1830.0,,1.0,44.0,,57.0,1875.0,,
2003,2003,Females,65–84,Alcohol use,Alcohol use disorders,11,11,,130.0,130.0,,153.0,153.0,,283.0,283.0,,
2003,2003,Females,65–84,Alcohol use,Atrial fibrillation and flutter,17,237,,203.0,2801.0,,434.0,6019.0,,637.0,8820.0,,
2003,2003,Females,65–84,Alcohol use,Bowel cancer,73,1304,,1038.0,18737.0,,72.0,1285.0,,1109.0,20023.0,,
2003,2003,Females,65–84,Alcohol use,Breast cancer,99,1150,,1535.0,17450.0,,225.0,2568.0,,1760.0,20017.0,,
2003,2003,Females,65–84,Alcohol use,Chronic liver disease,17,222,,250.0,3342.0,,9.0,120.0,,259.0,3462.0,,
2003,2003,Females,65–84,Alcohol use,Coronary heart disease,240,5532,,2952.0,69547.0,,705.0,16750.0,,3657.0,86296.0,,
2003,2003,Females,65–84,Alcohol use,Drowning,0,9,,7.0,145.0,,0.0,1.0,,7.0,146.0,,
2003,2003,Females,65–84,Alcohol use,Epilepsy,4,42,,60.0,558.0,,191.0,1776.0,,252.0,2334.0,,
2003,2003,Females,65–84,Alcohol use,Falls,8,294,,99.0,3522.0,,142.0,4784.0,,241.0,8307.0,,
2003,2003,Females,65–84,Alcohol use,"Fire, burns and scalds",1,14,,8.0,192.0,,1.0,33.0,,10.0,225.0,,
2003,2003,Females,65–84,Alcohol use,Homicide and violence,0,11,,7.0,157.0,,1.0,15.0,,8.0,171.0,,
2003,2003,Females,65–84,Alcohol use,Hypertensive heart disease,7,143,,89.0,1767.0,,2.0,37.0,,91.0,1803.0,,
2003,2003,Females,65–84,Alcohol use,Laryngeal cancer,2,17,,29.0,253.0,,2.0,20.0,,31.0,273.0,,
2003,2003,Females,65–84,Alcohol use,Lip and oral cavity cancer,15,88,,210.0,1234.0,,18.0,108.0,,229.0,1342.0,,
2003,2003,Females,65–84,Alcohol use,Liver cancer,38,174,,538.0,2461.0,,8.0,37.0,,546.0,2498.0,,
2003,2003,Females,65–84,Alcohol use,Lower respiratory infections,45,658,,541.0,7909.0,,22.0,318.0,,562.0,8227.0,,
2003,2003,Females,65–84,Alcohol use,Nasopharyngeal cancer,2,13,,35.0,199.0,,1.0,7.0,,36.0,206.0,,
2003,2003,Females,65–84,Alcohol use,Oesophageal cancer,24,228,,352.0,3247.0,,8.0,74.0,,360.0,3321.0,,
2003,2003,Females,65–84,Alcohol use,Other land transport injuries,1,4,,12.0,67.0,,12.0,63.0,,24.0,130.0,,
2003,2003,Females,65–84,Alcohol use,Other oral cavity and pharynx cancers,5,27,,88.0,465.0,,3.0,18.0,,91.0,482.0,,
2003,2003,Females,65–84,Alcohol use,Other unintentional injuries,2,46,,26.0,615.0,,9.0,241.0,,35.0,856.0,,
2003,2003,Females,65–84,Alcohol use,Pancreatitis,3,48,,39.0,601.0,,3.0,50.0,,42.0,652.0,,
2003,2003,Females,65–84,Alcohol use,Poisoning,3,32,,48.0,507.0,,2.0,19.0,,49.0,527.0,,
2003,2003,Females,65–84,Alcohol use,Road traffic injuries - motor vehicle occupants,12,74,,175.0,1093.0,,36.0,233.0,,211.0,1325.0,,
2003,2003,Females,65–84,Alcohol use,Road traffic injuries - motorcyclists,0,0,,0.0,0.0,,0.0,2.0,,0.0,2.0,,
2003,2003,Females,65–84,Alcohol use,Road traffic injuries - pedal cyclists,0,0,,0.0,0.0,,1.0,5.0,,1.0,5.0,,
2003,2003,Females,65–84,Alcohol use,Road traffic injuries - pedestrians,5,30,,69.0,438.0,,12.0,75.0,,81.0,513.0,,
2003,2003,Females,65–84,Alcohol use,Stroke,99,3005,,1227.0,37030.0,,69.0,3691.0,,1296.0,40721.0,,
2003,2003,Females,65–84,Alcohol use,Suicide and self-inflicted injuries,1,56,,13.0,943.0,,0.0,14.0,,13.0,957.0,,
2003,2003,Females,85+,Alcohol use,Alcohol use disorders,5,5,,31.0,31.0,,5.0,5.0,,36.0,36.0,,
2003,2003,Females,85+,Alcohol use,Atrial fibrillation and flutter,29,371,,149.0,1921.0,,138.0,1777.0,,286.0,3698.0,,
2003,2003,Females,85+,Alcohol use,Bowel cancer,37,587,,210.0,3295.0,,32.0,494.0,,242.0,3789.0,,
2003,2003,Females,85+,Alcohol use,Breast cancer,35,394,,193.0,2195.0,,52.0,596.0,,245.0,2791.0,,
2003,2003,Females,85+,Alcohol use,Chronic liver disease,4,51,,21.0,276.0,,1.0,9.0,,21.0,285.0,,
2003,2003,Females,85+,Alcohol use,Coronary heart disease,358,7324,,1841.0,37635.0,,433.0,8852.0,,2274.0,46487.0,,
2003,2003,Females,85+,Alcohol use,Drowning,0,2,,0.0,13.0,,0.0,0.0,,0.0,14.0,,
2003,2003,Females,85+,Alcohol use,Epilepsy,2,22,,13.0,124.0,,49.0,469.0,,62.0,593.0,,
2003,2003,Females,85+,Alcohol use,Falls,12,531,,61.0,2647.0,,70.0,3062.0,,131.0,5710.0,,
2003,2003,Females,85+,Alcohol use,"Fire, burns and scalds",0,5,,1.0,27.0,,0.0,4.0,,1.0,31.0,,
2003,2003,Females,85+,Alcohol use,Homicide and violence,0,2,,0.0,14.0,,0.0,3.0,,1.0,17.0,,
2003,2003,Females,85+,Alcohol use,Hypertensive heart disease,12,313,,60.0,1527.0,,2.0,49.0,,62.0,1576.0,,
2003,2003,Females,85+,Alcohol use,Laryngeal cancer,0,2,,1.0,13.0,,0.0,3.0,,2.0,16.0,,
2003,2003,Females,85+,Alcohol use,Lip and oral cavity cancer,5,32,,28.0,181.0,,6.0,38.0,,34.0,219.0,,
2003,2003,Females,85+,Alcohol use,Liver cancer,10,45,,57.0,259.0,,3.0,13.0,,60.0,273.0,,
2003,2003,Females,85+,Alcohol use,Lower respiratory infections,102,1386,,484.0,6584.0,,6.0,81.0,,490.0,6664.0,,
2003,2003,Females,85+,Alcohol use,Nasopharyngeal cancer,0,0,,0.0,0.0,,0.0,1.0,,0.0,1.0,,
2003,2003,Females,85+,Alcohol use,Oesophageal cancer,9,89,,51.0,489.0,,4.0,38.0,,55.0,527.0,,
2003,2003,Females,85+,Alcohol use,Other land transport injuries,0,1,,1.0,9.0,,2.0,14.0,,4.0,23.0,,
2003,2003,Females,85+,Alcohol use,Other oral cavity and pharynx cancers,2,10,,10.0,66.0,,1.0,4.0,,11.0,70.0,,
2003,2003,Females,85+,Alcohol use,Other unintentional injuries,2,55,,8.0,287.0,,2.0,81.0,,11.0,369.0,,
2003,2003,Females,85+,Alcohol use,Pancreatitis,2,31,,12.0,171.0,,1.0,9.0,,13.0,181.0,,
2003,2003,Females,85+,Alcohol use,Poisoning,1,15,,7.0,76.0,,1.0,5.0,,8.0,81.0,,
2003,2003,Females,85+,Alcohol use,Road traffic injuries - motor vehicle occupants,2,16,,13.0,97.0,,4.0,32.0,,18.0,129.0,,
2003,2003,Females,85+,Alcohol use,Road traffic injuries - motorcyclists,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,2003,Females,85+,Alcohol use,Road traffic injuries - pedal cyclists,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,2003,Females,85+,Alcohol use,Road traffic injuries - pedestrians,1,9,,7.0,54.0,,2.0,16.0,,10.0,70.0,,
2003,2003,Females,85+,Alcohol use,Stroke,146,4348,,754.0,22400.0,,37.0,1717.0,,791.0,24117.0,,
2003,2003,Females,85+,Alcohol use,Suicide and self-inflicted injuries,0,7,,0.0,41.0,,0.0,1.0,,0.0,42.0,,
2003,2003,Females,Under 15,Alcohol use,Alcohol use disorders,0,0,,0.0,0.0,,76.0,76.0,,76.0,76.0,,
2003,2003,Females,25–34,All dietary risks,Aortic aneurysm,0,3,,4.0,163.0,,0.0,0.0,,4.0,164.0,,
2003,2003,Females,25–34,All dietary risks,Atrial fibrillation and flutter,0,0,,0.0,0.0,,2.0,65.0,,2.0,65.0,,
2003,2003,Females,25–34,All dietary risks,Bowel cancer,4,15,,227.0,829.0,,5.0,18.0,,232.0,846.0,,
2003,2003,Females,25–34,All dietary risks,Breast cancer,1,31,,54.0,1685.0,,2.0,73.0,,57.0,1758.0,,
2003,2003,Females,25–34,All dietary risks,Cardiomyopathy,0,5,,11.0,312.0,,0.0,12.0,,11.0,324.0,,
2003,2003,Females,25–34,All dietary risks,Chronic kidney disease,0,4,,4.0,230.0,,2.0,132.0,,6.0,363.0,,
2003,2003,Females,25–34,All dietary risks,Coronary heart disease,13,17,,715.0,943.0,,58.0,76.0,,773.0,1020.0,,
2003,2003,Females,25–34,All dietary risks,Hypertensive heart disease,0,0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,
2003,2003,Females,25–34,All dietary risks,Inflammatory heart disease,0,0,,0.0,18.0,,0.0,7.0,,0.0,25.0,,
2003,2003,Females,25–34,All dietary risks,Lung cancer,0,4,,11.0,233.0,,0.0,2.0,,11.0,235.0,,
