block,subgroup,year,category,test_scope,prevalence_pct,starred_flag
Diabetes,Fasting plasma glucose,2022-24,Has diabetes – Known diabetes,fasting_blood,5.76,0
Diabetes,Fasting plasma glucose,2011-12,Has diabetes – Newly diagnosed diabetes,fasting_blood,0.93,0
Diabetes,Fasting plasma glucose,2022-24,Has diabetes – Newly diagnosed diabetes,fasting_blood,0.97,0
Diabetes,Fasting plasma glucose,2011-12,Has diabetes – Total with diabetes,fasting_blood,5.09,0
Diabetes,Fasting plasma glucose,2022-24,Has diabetes – Total with diabetes,fasting_blood,6.63,0
Diabetes,Fasting plasma glucose,2011-12,Does not have diabetes – Impaired fasting plasma glucose,fasting_blood,3.08,0
Diabetes,Fasting plasma glucose,2022-24,Does not have diabetes – Impaired fasting plasma glucose,fasting_blood,2.68,0
Diabetes,Fasting plasma glucose,2011-12,Does not have diabetes – Normal,fasting_blood,91.84,0
Diabetes,Fasting plasma glucose,2022-24,Does not have diabetes – Normal,fasting_blood,89.33,0
Diabetes,Fasting plasma glucose,2011-12,Does not have diabetes – Total without diabetes,fasting_blood,94.91,0
Diabetes,Fasting plasma glucose,2022-24,Does not have diabetes – Total without diabetes,fasting_blood,91.9,0
Diabetes,HbA1c,2011-12,Has diabetes – Known diabetes,blood,4.28,0
Diabetes,HbA1c,2022-24,Has diabetes – Known diabetes,blood,5.54,0
Diabetes,HbA1c,2011-12,Has diabetes – Newly diagnosed diabetes,blood,1.17,0
Diabetes,HbA1c,2022-24,Has diabetes – Newly diagnosed diabetes,blood,0.91,0
Diabetes,HbA1c,2011-12,Has diabetes – Total with diabetes,blood,5.45,0
Diabetes,HbA1c,2022-24,Has diabetes – Total with diabetes,blood,6.43,0
Diabetes,HbA1c,2011-12,Does not have diabetes – At high risk of diabetes,blood,5.48,0
Diabetes,HbA1c,2022-24,Does not have diabetes – At high risk of diabetes,blood,4.83,0
Diabetes,HbA1c,2011-12,Does not have diabetes – Normal,blood,88.82,0
Diabetes,HbA1c,2022-24,Does not have diabetes – Normal,blood,87.9,0
Diabetes,HbA1c,2011-12,Does not have diabetes – Total without diabetes,blood,94.3,0
Diabetes,HbA1c,2022-24,Does not have diabetes – Total without diabetes,blood,92.78,0
Kidney disease biomarkers,Estimated glomerular filtration rate (eGFR),2011-12,Estimated glomerular filtration rate (eGFR) – Normal (≥60 mL/min/1.73 m²),blood,96.22,0
Kidney disease biomarkers,Estimated glomerular filtration rate (eGFR),2022-24,Estimated glomerular filtration rate (eGFR) – Normal (≥60 mL/min/1.73 m²),blood,94.69,0
Kidney disease biomarkers,Estimated glomerular filtration rate (eGFR),2011-12,Estimated glomerular filtration rate (eGFR) – Abnormal (<60 mL/min/1.73 m²),blood,3.69,0
Kidney disease biomarkers,Estimated glomerular filtration rate (eGFR),2022-24,Estimated glomerular filtration rate (eGFR) – Abnormal (<60 mL/min/1.73 m²),blood,5.24,0
Kidney disease biomarkers,Albumin Creatinine Ratio (ACR),2011-12,Albumin Creatinine Ratio (ACR) – No presence of albuminuria,urine,91.72,0
Kidney disease biomarkers,Albumin Creatinine Ratio (ACR),2022-24,Albumin Creatinine Ratio (ACR) – No presence of albuminuria,urine,89.12,0
Kidney disease biomarkers,Albumin Creatinine Ratio (ACR),2011-12,Albumin Creatinine Ratio (ACR) – Presence of albuminuria,urine,8.26,0
Kidney disease biomarkers,Albumin Creatinine Ratio (ACR),2022-24,Albumin Creatinine Ratio (ACR) – Presence of albuminuria,urine,10.8,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2011-12,Indicators of Chronic Kidney Disease – No indicators of Chronic Kidney Disease,blood_and_urine,89.12,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2022-24,Indicators of Chronic Kidney Disease – No indicators of Chronic Kidney Disease,blood_and_urine,85.7,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2011-12,Indicators of Chronic Kidney Disease – Stage 1: eGFR ≥90 mL/min/1.73 m² and micro- or macroalbuminuria,blood_and_urine,4.28,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2022-24,Indicators of Chronic Kidney Disease – Stage 1: eGFR ≥90 mL/min/1.73 m² and micro- or macroalbuminuria,blood_and_urine,5.08,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2011-12,Indicators of Chronic Kidney Disease – Stage 2: eGFR 60-89 mL/min/1.73 m² and micro- or macroalbuminuria,blood_and_urine,2.72,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2022-24,Indicators of Chronic Kidney Disease – Stage 2: eGFR 60-89 mL/min/1.73 m² and micro- or macroalbuminuria,blood_and_urine,3.89,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2011-12,Indicators of Chronic Kidney Disease – Stage 3a: eGFR 45-59 mL/min/1.73 m²,blood_and_urine,2.83,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2022-24,Indicators of Chronic Kidney Disease – Stage 3a: eGFR 45-59 mL/min/1.73 m²,blood_and_urine,3.8,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2011-12,Indicators of Chronic Kidney Disease – Stage 3b: eGFR 30-44 mL/min/1.73 m²,blood_and_urine,0.63,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2022-24,Indicators of Chronic Kidney Disease – Stage 3b: eGFR 30-44 mL/min/1.73 m²,blood_and_urine,1.36,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2011-12,Indicators of Chronic Kidney Disease – Stages 4-5: eGFR <30 mL/min/1.73 m²,blood_and_urine,0.32,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2022-24,Indicators of Chronic Kidney Disease – Stages 4-5: eGFR <30 mL/min/1.73 m²,blood_and_urine,0.15,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2011-12,Indicators of Chronic Kidney Disease – Total indicators of Chronic Kidney Disease,blood_and_urine,10.78,0
Kidney disease biomarkers,Indicators of Chronic Kidney Disease,2022-24,Indicators of Chronic Kidney Disease – Total indicators of Chronic Kidney Disease,blood_and_urine,14.18,0
Anaemia,Haemoglobin,2011-12,Haemoglobin – Normal haemoglobin level,blood,95.14,0
Anaemia,Haemoglobin,2022-24,Haemoglobin – Normal haemoglobin level,blood,92.25,0
Anaemia,Haemoglobin,2011-12,Haemoglobin – Abnormal haemoglobin level,blood,4.53,0
Anaemia,Haemoglobin,2022-24,Haemoglobin – Abnormal haemoglobin level,blood,7.75,0
