year,cube,sex,measure,category,age_group,proportion_pct
2022,8,Persons,Measured Body Mass Index(f),Overweight (25.00–29.99),Total 15 +,33.3
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),18-24,8.5
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),25-34,16.7
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),35-44,18.8
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),45-54,20.2
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),55-64,22.8
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),65 +,22.7
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),25-44,17.8
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),45-64,21.5
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),65-74,22.8
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),75 +,22.4
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),18-44,15.6
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),45 +,22.0
2022,8,Persons,Measured Body Mass Index(f),Obesity class I (30.00–34.99),Total 18 +,19.0
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),18-24,3.5
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),25-34,7.9
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),35-44,8.2
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),45-54,8.7
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),55-64,9.6
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),65 +,8.6
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),25-44,8.1
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),45-64,9.1
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),65-74,9.9
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),75 +,7.1
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),18-44,7.0
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),45 +,9.0
2022,8,Persons,Measured Body Mass Index(f),Obesity class II (35.00–39.99),Total 18 +,8.0
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),18-24,2.9
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),25-34,3.3
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),35-44,4.7
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),45-54,6.7
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),55-64,5.4
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),65 +,4.9
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),25-44,4.0
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),45-64,6.1
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),65-74,5.9
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),75 +,3.5
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),18-44,3.6
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),45 +,5.5
2022,8,Persons,Measured Body Mass Index(f),Obesity class III (40.00 or more),Total 18 +,4.6
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),15-17,9.2
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),18-24,14.3
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),25-34,28.2
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),35-44,31.6
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),45-54,35.8
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),55-64,37.7
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),65 +,36.2
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),15-24,12.8
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),15-44,24.8
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),25-44,29.8
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),45-64,36.7
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),65-74,38.5
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),75 +,33.0
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),18-44,26.3
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),45 +,36.6
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),Total 18 +,31.7
2022,8,Persons,Measured Body Mass Index(f),Total Obese (30.00 or more),Total 15 +,30.7
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),15-17,26.1
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),18-24,42.1
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),25-34,58.8
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),35-44,66.7
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),45-54,72.5
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),55-64,73.6
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),65 +,72.5
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),15-24,37.2
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),15-44,55.0
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),25-44,62.7
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),45-64,73.0
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),65-74,75.1
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),75 +,69.1
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),18-44,57.9
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),45 +,72.9
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),Total 18 +,65.8
2022,8,Persons,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),Total 15 +,64.0
2022,8,Persons,Measured waist circumference(h),Lowered risk,18-24,62.5
2022,8,Persons,Measured waist circumference(h),Lowered risk,25-34,43.3
2022,8,Persons,Measured waist circumference(h),Lowered risk,35-44,33.7
2022,8,Persons,Measured waist circumference(h),Lowered risk,45-54,24.3
2022,8,Persons,Measured waist circumference(h),Lowered risk,55-64,19.5
2022,8,Persons,Measured waist circumference(h),Lowered risk,65 +,16.1
2022,8,Persons,Measured waist circumference(h),Lowered risk,25-44,38.6
2022,8,Persons,Measured waist circumference(h),Lowered risk,45-64,22.0
2022,8,Persons,Measured waist circumference(h),Lowered risk,65-74,14.2
2022,8,Persons,Measured waist circumference(h),Lowered risk,75 +,18.5
2022,8,Persons,Measured waist circumference(h),Lowered risk,18-44,44.1
2022,8,Persons,Measured waist circumference(h),Lowered risk,45 +,19.6
2022,8,Persons,Measured waist circumference(h),Lowered risk,Total 18 +,31.2
2022,8,Persons,Measured waist circumference(h),Increased risk(i),18-24,16.4
2022,8,Persons,Measured waist circumference(h),Increased risk(i),25-34,20.4
2022,8,Persons,Measured waist circumference(h),Increased risk(i),35-44,22.9
2022,8,Persons,Measured waist circumference(h),Increased risk(i),45-54,20.3
2022,8,Persons,Measured waist circumference(h),Increased risk(i),55-64,22.4
2022,8,Persons,Measured waist circumference(h),Increased risk(i),65 +,21.1
2022,8,Persons,Measured waist circumference(h),Increased risk(i),25-44,21.5
2022,8,Persons,Measured waist circumference(h),Increased risk(i),45-64,21.3
2022,8,Persons,Measured waist circumference(h),Increased risk(i),65-74,22.0
2022,8,Persons,Measured waist circumference(h),Increased risk(i),75 +,19.6
2022,8,Persons,Measured waist circumference(h),Increased risk(i),18-44,20.4
2022,8,Persons,Measured waist circumference(h),Increased risk(i),45 +,21.2
2022,8,Persons,Measured waist circumference(h),Increased risk(i),Total 18 +,20.8
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),18-24,20.4
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),25-34,34.9
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),35-44,42.8
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),45-54,54.4
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),55-64,57.4
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),65 +,61.9
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),25-44,38.8
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),45-64,55.8
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),65-74,62.8
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),75 +,61.2
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),18-44,34.5
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),45 +,58.3
2022,8,Persons,Measured waist circumference(h),Substantially increased risk(j),Total 18 +,47.0
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),15-17,12.1
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),18-24,2.9
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),25-34,0.8
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),35-44,0.3
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),45-54,0.0
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),55-64,1.3
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),65 +,0.6
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),15-24,5.8
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),15-44,2.3
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),25-44,0.9
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),45-64,0.6
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),65-74,0.6
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),75 +,0.8
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),18-44,1.4
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),45 +,0.6
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),Total 18 +,0.9
2022,8,Males,Measured Body Mass Index(f),Underweight (less than 18.50),Total 15 +,1.5
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),18-24,10.0
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),25-34,2.7
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),35-44,1.3
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),45-54,0.8
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),55-64,1.5
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),65 +,0.4
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),25-44,2.0
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),45-64,1.2
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),65-74,0.0
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),75 +,0.9
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),18-44,3.6
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),45 +,1.0
2022,8,Males,Measured Body Mass Index(f),Normal range (18.50–19.99),Total 18 +,2.3
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),18-24,43.9
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),25-34,28.9
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),35-44,23.0
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),45-54,19.5
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),55-64,19.5
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),65 +,19.9
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),25-44,26.1
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),45-64,19.7
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),65-74,17.3
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),75 +,23.2
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),18-44,30.1
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),45 +,19.7
2022,8,Males,Measured Body Mass Index(f),Normal range (20.00–24.99),Total 18 +,24.8
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),15-17,58.1
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),18-24,54.1
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),25-34,31.1
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),35-44,24.1
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),45-54,20.7
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),55-64,20.5
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),65 +,20.4
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),15-24,54.8
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),15-44,36.2
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),25-44,27.9
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),45-64,20.7
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),65-74,17.8
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),75 +,24.5
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),18-44,33.9
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),45 +,20.7
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),Total 18 +,27.1
2022,8,Males,Measured Body Mass Index(f),Total Normal range (18.50–24.99),Total 15 +,28.5
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),15-17,18.9
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),18-24,29.5
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),25-34,38.4
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),35-44,40.0
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),45-54,42.9
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),55-64,38.4
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),65 +,40.2
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),15-24,25.9
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),15-44,35.0
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),25-44,39.2
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),45-64,40.7
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),65-74,40.9
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),75 +,39.6
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),18-44,36.7
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),45 +,40.5
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),Total 18 +,38.6
2022,8,Males,Measured Body Mass Index(f),Overweight (25.00–29.99),Total 15 +,37.7
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),18-24,7.7
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),25-34,16.8
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),35-44,22.3
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),45-54,20.9
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),55-64,25.8
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),65 +,25.9
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),25-44,19.8
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),45-64,23.2
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),65-74,26.8
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),75 +,24.6
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),18-44,16.9
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),45 +,24.2
2022,8,Males,Measured Body Mass Index(f),Obesity class I (30.00–34.99),Total 18 +,20.7
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),18-24,3.4
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),25-34,7.8
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),35-44,8.8
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),45-54,7.8
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),55-64,8.3
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),65 +,9.6
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),25-44,8.5
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),45-64,8.3
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),65-74,11.0
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),75 +,7.3
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),18-44,7.3
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),45 +,8.7
2022,8,Males,Measured Body Mass Index(f),Obesity class II (35.00–39.99),Total 18 +,8.0
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),18-24,3.6
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),25-34,3.1
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),35-44,3.4
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),45-54,6.3
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),55-64,5.3
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),65 +,2.8
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),25-44,3.2
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),45-64,5.8
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),65-74,2.8
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),75 +,2.5
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),18-44,3.1
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),45 +,4.6
2022,8,Males,Measured Body Mass Index(f),Obesity class III (40.00 or more),Total 18 +,3.8
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),15-17,10.3
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),18-24,14.8
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),25-34,28.0
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),35-44,35.0
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),45-54,35.8
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),55-64,39.1
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),65 +,37.9
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),15-24,12.9
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),15-44,25.7
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),25-44,31.4
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),45-64,37.2
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),65-74,40.6
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),75 +,34.4
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),18-44,27.3
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),45 +,37.6
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),Total 18 +,32.5
2022,8,Males,Measured Body Mass Index(f),Total Obese (30.00 or more),Total 15 +,31.5
2022,8,Males,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),15-17,28.3
2022,8,Males,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),18-24,42.3
2022,8,Males,Measured Body Mass Index(f),Total Overweight / Obese (25.00 or more),25-34,66.1
