data_year,sex,age_group,risk_factor,cause_name,attributable_deaths,deaths,pct_deaths_total,attributable_yll,yll,pct_yll_total,attributable_yld,yld,pct_yld_total,attributable_daly,daly,pct_daly_total,disease_group
2003,Females,nan,Cannabis use,Schizophrenia,0.0,22.0,,1.0,245.0,,174.0,9456.0,,175.0,9700.0,,
2003,Females,nan,Child abuse & neglect,Anxiety disorders,1.0,4.0,,10.0,48.0,,23487.0,75784.0,,23497.0,75832.0,,
2003,Females,nan,Child abuse & neglect,Depressive disorders,3.0,33.0,,30.0,293.0,,15426.0,65183.0,,15455.0,65476.0,,
2003,Females,nan,Child abuse & neglect,Suicide and self-inflicted injuries,162.0,509.0,,7422.0,22298.0,,193.0,579.0,,7615.0,22877.0,,
2003,Females,nan,Cocaine use,Drug use disorders (excluding alcohol),7.0,40.0,,332.0,1996.0,,1361.0,8862.0,,1692.0,10858.0,,
2003,Females,nan,Cocaine use,Poisoning,3.0,259.0,,137.0,10811.0,,3.0,260.0,,140.0,11071.0,,
2003,Females,nan,Cocaine use,Road traffic injuries - motor vehicle occupants,2.0,368.0,,123.0,16621.0,,0.0,1828.0,,123.0,18448.0,,
2003,Females,nan,Cocaine use,Road traffic injuries - motorcyclists,0.0,15.0,,8.0,774.0,,0.0,155.0,,8.0,928.0,,
2003,Females,nan,Cocaine use,Suicide and self-inflicted injuries,17.0,509.0,,860.0,22298.0,,23.0,579.0,,883.0,22877.0,,
2003,Females,nan,Diet high in processed meat,Bowel cancer,47.0,2436.0,,825.0,40038.0,,47.0,2416.0,,873.0,42454.0,,
2003,Females,nan,Diet high in processed meat,Coronary heart disease,217.0,13483.0,,2381.0,127532.0,,584.0,31109.0,,2965.0,158641.0,,
2003,Females,nan,Diet high in processed meat,Type 2 diabetes mellitus,66.0,1339.0,,805.0,15925.0,,886.0,16672.0,,1691.0,32596.0,,
2003,Females,nan,Diet high in red meat,Bowel cancer,123.0,2436.0,,2128.0,40038.0,,123.0,2416.0,,2251.0,42454.0,,
2003,Females,nan,Diet high in red meat,Breast cancer,84.0,2813.0,,1989.0,63659.0,,209.0,6869.0,,2198.0,70527.0,,
2003,Females,nan,Diet high in red meat,Coronary heart disease,519.0,13483.0,,5562.0,127532.0,,1366.0,31109.0,,6928.0,158641.0,,
2003,Females,nan,Diet high in red meat,Stroke,398.0,7710.0,,4749.0,72185.0,,447.0,6668.0,,5195.0,78853.0,,
2003,Females,nan,Diet high in red meat,Type 2 diabetes mellitus,99.0,1339.0,,1212.0,15925.0,,1316.0,16672.0,,2528.0,32596.0,,
2003,Females,nan,Diet high in sodium,Aortic aneurysm,24.0,527.0,,293.0,6151.0,,0.0,4.0,,293.0,6155.0,,
2003,Females,nan,Diet high in sodium,Atrial fibrillation and flutter,28.0,612.0,,233.0,4842.0,,500.0,9440.0,,732.0,14282.0,,
2003,Females,nan,Diet high in sodium,Cardiomyopathy,13.0,276.0,,213.0,4796.0,,53.0,1113.0,,266.0,5909.0,,
2003,Females,nan,Diet high in sodium,Chronic kidney disease,62.0,1085.0,,646.0,11312.0,,264.0,4697.0,,910.0,16009.0,,
2003,Females,nan,Diet high in sodium,Coronary heart disease,779.0,13483.0,,7696.0,127532.0,,1902.0,31109.0,,9598.0,158641.0,,
2003,Females,nan,Diet high in sodium,Hypertensive heart disease,27.0,477.0,,242.0,3973.0,,5.0,93.0,,247.0,4066.0,,
2003,Females,nan,Diet high in sodium,Inflammatory heart disease,1.0,60.0,,13.0,1495.0,,5.0,563.0,,19.0,2058.0,,
2003,Females,nan,Diet high in sodium,Non-rheumatic valvular disease,25.0,685.0,,242.0,6586.0,,207.0,5571.0,,449.0,12157.0,,
2003,Females,nan,Diet high in sodium,Peripheral vascular disease,18.0,479.0,,165.0,4237.0,,33.0,799.0,,198.0,5035.0,,
2003,Females,nan,Diet high in sodium,Rheumatic heart disease (including acute rheumatic fever),9.0,213.0,,126.0,3192.0,,22.0,553.0,,147.0,3746.0,,
2003,Females,nan,Diet high in sodium,Stroke,426.0,7710.0,,4202.0,72185.0,,391.0,6668.0,,4592.0,78853.0,,
2003,Females,nan,Diet high in sugar-sweetened beverages,Coronary heart disease,55.0,13483.0,,612.0,127532.0,,147.0,31109.0,,759.0,158641.0,,
2003,Females,nan,Diet high in sugar-sweetened beverages,Type 2 diabetes mellitus,17.0,1339.0,,208.0,15925.0,,242.0,16672.0,,450.0,32596.0,,
2003,Females,nan,Diet low in fish & seafood,Coronary heart disease,234.0,13483.0,,2507.0,127532.0,,605.0,31109.0,,3112.0,158641.0,,
2003,Females,nan,Diet low in fruit,Coronary heart disease,581.0,13483.0,,5964.0,127532.0,,1448.0,31109.0,,7412.0,158641.0,,
2003,Females,nan,Diet low in fruit,Lung cancer,97.0,2637.0,,1837.0,48943.0,,31.0,861.0,,1868.0,49803.0,,
2003,Females,nan,Diet low in fruit,Oesophageal cancer,58.0,378.0,,929.0,5776.0,,21.0,135.0,,950.0,5911.0,,
2003,Females,nan,Diet low in fruit,Stroke,297.0,7710.0,,3455.0,72185.0,,323.0,6668.0,,3778.0,78853.0,,
2003,Females,nan,Diet low in fruit,Type 2 diabetes mellitus,84.0,1339.0,,1018.0,15925.0,,1112.0,16672.0,,2130.0,32596.0,,
2003,Females,nan,Diet low in legumes,Coronary heart disease,2344.0,13483.0,,23794.0,127532.0,,5817.0,31109.0,,29611.0,158641.0,,
2003,Females,nan,Diet low in milk,Bowel cancer,107.0,2436.0,,1789.0,40038.0,,106.0,2416.0,,1896.0,42454.0,,
2003,Females,nan,Diet low in nuts & seeds,Coronary heart disease,1521.0,13483.0,,15282.0,127532.0,,3742.0,31109.0,,19025.0,158641.0,,
2003,Females,nan,Diet low in nuts & seeds,Type 2 diabetes mellitus,37.0,1339.0,,430.0,15925.0,,437.0,16672.0,,866.0,32596.0,,
2003,Females,nan,Diet low in polyunsaturated fats,Coronary heart disease,195.0,13483.0,,1977.0,127532.0,,482.0,31109.0,,2459.0,158641.0,,
2003,Females,nan,Diet low in vegetables,Coronary heart disease,660.0,13483.0,,6485.0,127532.0,,1568.0,31109.0,,8053.0,158641.0,,
2003,Females,nan,Diet low in vegetables,Oesophageal cancer,27.0,378.0,,399.0,5776.0,,10.0,135.0,,409.0,5911.0,,
2003,Females,nan,Diet low in vegetables,Stroke,421.0,7710.0,,4228.0,72185.0,,393.0,6668.0,,4621.0,78853.0,,
2003,Females,nan,Diet low in whole grains & high fibre cereals,Bowel cancer,369.0,2436.0,,6221.0,40038.0,,367.0,2416.0,,6589.0,42454.0,,
2003,Females,nan,Diet low in whole grains & high fibre cereals,Coronary heart disease,783.0,13483.0,,8135.0,127532.0,,1978.0,31109.0,,10113.0,158641.0,,
2003,Females,nan,Diet low in whole grains & high fibre cereals,Stroke,155.0,7710.0,,1894.0,72185.0,,178.0,6668.0,,2072.0,78853.0,,
2003,Females,nan,Diet low in whole grains & high fibre cereals,Type 2 diabetes mellitus,53.0,1339.0,,645.0,15925.0,,692.0,16672.0,,1337.0,32596.0,,
2003,Females,nan,High blood pressure,Aortic aneurysm,170.0,527.0,,1990.0,6151.0,,1.0,4.0,,1991.0,6155.0,,
2003,Females,nan,High blood pressure,Atrial fibrillation and flutter,205.0,612.0,,1700.0,4842.0,,3477.0,9440.0,,5177.0,14282.0,,
2003,Females,nan,High blood pressure,Cardiomyopathy,88.0,276.0,,1316.0,4796.0,,359.0,1113.0,,1675.0,5909.0,,
2003,Females,nan,High blood pressure,Chronic kidney disease,519.0,1085.0,,4991.0,11312.0,,1963.0,4697.0,,6954.0,16009.0,,
2003,Females,nan,High blood pressure,Coronary heart disease,6518.0,13483.0,,61003.0,127532.0,,14951.0,31109.0,,75954.0,158641.0,,
2003,Females,nan,High blood pressure,Dementia,126.0,3284.0,,882.0,24344.0,,1392.0,37462.0,,2274.0,61806.0,,
2003,Females,nan,High blood pressure,Hypertensive heart disease,335.0,477.0,,2731.0,3973.0,,65.0,93.0,,2796.0,4066.0,,
2003,Females,nan,High blood pressure,Inflammatory heart disease,4.0,60.0,,73.0,1495.0,,37.0,563.0,,110.0,2058.0,,
2003,Females,nan,High blood pressure,Non-rheumatic valvular disease,179.0,685.0,,1646.0,6586.0,,1401.0,5571.0,,3048.0,12157.0,,
2003,Females,nan,High blood pressure,Peripheral vascular disease,123.0,479.0,,1082.0,4237.0,,207.0,799.0,,1289.0,5035.0,,
2003,Females,nan,High blood pressure,Rheumatic heart disease (including acute rheumatic fever),56.0,213.0,,737.0,3192.0,,124.0,553.0,,861.0,3746.0,,
2003,Females,nan,High blood pressure,Stroke,3407.0,7710.0,,31974.0,72185.0,,2978.0,6668.0,,34952.0,78853.0,,
2003,Females,nan,High cholesterol,Coronary heart disease,5074.0,13483.0,,50656.0,127532.0,,12389.0,31109.0,,63044.0,158641.0,,
2003,Females,nan,High cholesterol,Stroke,1246.0,7710.0,,12851.0,72185.0,,1184.0,6668.0,,14035.0,78853.0,,
2003,Females,nan,Illicit drug use,Anxiety disorders,0.0,4.0,,0.0,48.0,,397.0,75784.0,,397.0,75832.0,,
2003,Females,nan,Illicit drug use,Chronic liver disease,93.0,480.0,,2180.0,11229.0,,106.0,562.0,,2286.0,11791.0,,
2003,Females,nan,Illicit drug use,Depressive disorders,0.0,33.0,,0.0,293.0,,299.0,65183.0,,299.0,65476.0,,
2003,Females,nan,Illicit drug use,Drug use disorders (excluding alcohol),40.0,40.0,,1996.0,1996.0,,8862.0,8862.0,,10858.0,10858.0,,
2003,Females,nan,Illicit drug use,HIV/AIDS,2.0,11.0,,76.0,513.0,,10.0,71.0,,86.0,584.0,,
2003,Females,nan,Illicit drug use,Hepatitis B (acute),1.0,2.0,,18.0,34.0,,1.0,2.0,,18.0,35.0,,
2003,Females,nan,Illicit drug use,Hepatitis C (acute),13.0,15.0,,359.0,411.0,,3.0,3.0,,362.0,414.0,,
2003,Females,nan,Illicit drug use,Liver cancer,41.0,301.0,,727.0,5456.0,,9.0,70.0,,736.0,5526.0,,
2003,Females,nan,Illicit drug use,Poisoning,144.0,259.0,,5916.0,10811.0,,116.0,260.0,,6032.0,11071.0,,
2003,Females,nan,Illicit drug use,Road traffic injuries - motor vehicle occupants,11.0,368.0,,579.0,16621.0,,62.0,1828.0,,640.0,18448.0,,
2003,Females,nan,Illicit drug use,Road traffic injuries - motorcyclists,1.0,15.0,,36.0,774.0,,5.0,155.0,,41.0,928.0,,
2003,Females,nan,Illicit drug use,Schizophrenia,0.0,22.0,,1.0,245.0,,174.0,9456.0,,175.0,9700.0,,
2003,Females,nan,Illicit drug use,Suicide and self-inflicted injuries,26.0,509.0,,1373.0,22298.0,,37.0,579.0,,1410.0,22877.0,,
2003,Females,nan,Impaired kidney function,Chronic kidney disease,1085.0,1085.0,,11312.0,11312.0,,4697.0,4697.0,,16009.0,16009.0,,
2003,Females,nan,Impaired kidney function,Coronary heart disease,1215.0,13483.0,,9565.0,127532.0,,2259.0,31109.0,,11824.0,158641.0,,
2003,Females,nan,Impaired kidney function,Dementia,347.0,3284.0,,2143.0,24344.0,,3367.0,37462.0,,5510.0,61806.0,,
2003,Females,nan,Impaired kidney function,Gout,5.0,12.0,,33.0,95.0,,205.0,1295.0,,238.0,1391.0,,
2003,Females,nan,Impaired kidney function,Peripheral vascular disease,32.0,479.0,,338.0,4237.0,,69.0,799.0,,407.0,5035.0,,
2003,Females,nan,Impaired kidney function,Stroke,525.0,7710.0,,4532.0,72185.0,,418.0,6668.0,,4950.0,78853.0,,
2003,Females,nan,Intimate partner violence,Alcohol use disorders,2.0,49.0,,65.0,1406.0,,499.0,13349.0,,564.0,14755.0,,
2003,Females,nan,Intimate partner violence,Anxiety disorders,0.0,4.0,,5.0,48.0,,8675.0,75784.0,,8680.0,75832.0,,
2003,Females,nan,Intimate partner violence,Depressive disorders,2.0,33.0,,24.0,293.0,,9960.0,65183.0,,9984.0,65476.0,,
2003,Females,nan,Intimate partner violence,Early pregnancy loss,0.0,0.0,,0.0,0.0,,46.0,259.0,,46.0,259.0,,
2003,Females,nan,Intimate partner violence,Homicide and violence,50.0,100.0,,2695.0,5323.0,,386.0,965.0,,3081.0,6287.0,,
2003,Females,nan,Intimate partner violence,Suicide and self-inflicted injuries,104.0,509.0,,4471.0,22298.0,,111.0,579.0,,4583.0,22877.0,,
2003,Females,nan,Iron deficiency,Iron-deficiency anaemia,22.0,22.0,,160.0,160.0,,8506.0,8506.0,,8666.0,8666.0,,
2003,Females,nan,Low bone mineral density,Falls,390.0,872.0,,3083.0,8266.0,,4772.0,12597.0,,7854.0,20863.0,,
2003,Females,nan,Occupational exposures & hazards,Acute lymphoblastic leukaemia (ALL),2.0,62.0,,50.0,2378.0,,3.0,136.0,,54.0,2514.0,,
2003,Females,nan,Occupational exposures & hazards,Acute myeloid leukaemia (AML),11.0,286.0,,222.0,6046.0,,7.0,185.0,,229.0,6231.0,,
2003,Females,nan,Occupational exposures & hazards,Asbestosis,2.0,2.0,,31.0,31.0,,3.0,3.0,,34.0,34.0,,
2003,Females,nan,Occupational exposures & hazards,Asthma,4.0,203.0,,149.0,3922.0,,2656.0,50352.0,,2805.0,54275.0,,
2003,Females,nan,Occupational exposures & hazards,Back pain and problems,0.0,29.0,,0.0,429.0,,10096.0,75184.0,,10096.0,75613.0,,
2003,Females,nan,Occupational exposures & hazards,COPD,9.0,2314.0,,270.0,29836.0,,288.0,37442.0,,558.0,67278.0,,
2003,Females,nan,Occupational exposures & hazards,Chronic lymphocytic leukaemia (CLL),4.0,114.0,,48.0,1225.0,,6.0,141.0,,54.0,1367.0,,
2003,Females,nan,Occupational exposures & hazards,Chronic myeloid leukaemia (CML),2.0,57.0,,38.0,931.0,,1.0,40.0,,40.0,971.0,,
2003,Females,nan,Occupational exposures & hazards,Drowning,1.0,52.0,,48.0,2645.0,,3.0,35.0,,51.0,2680.0,,
2003,Females,nan,Occupational exposures & hazards,Falls,2.0,872.0,,103.0,8266.0,,16.0,12597.0,,119.0,20863.0,,
2003,Females,nan,Occupational exposures & hazards,"Fire, burns and scalds",0.0,39.0,,0.0,1184.0,,0.0,670.0,,0.0,1853.0,,
2003,Females,nan,Occupational exposures & hazards,Hearing loss,0.0,0.0,,0.0,0.0,,1028.0,25988.0,,1028.0,25988.0,,
2003,Females,nan,Occupational exposures & hazards,Homicide and violence,1.0,100.0,,57.0,5323.0,,5.0,965.0,,62.0,6287.0,,
2003,Females,nan,Occupational exposures & hazards,Kidney cancer,0.0,312.0,,0.0,5212.0,,0.0,262.0,,0.0,5474.0,,
2003,Females,nan,Occupational exposures & hazards,Laryngeal cancer,0.0,27.0,,7.0,517.0,,0.0,32.0,,8.0,549.0,,
2003,Females,nan,Occupational exposures & hazards,Lung cancer,66.0,2637.0,,1231.0,48943.0,,21.0,861.0,,1252.0,49803.0,,
2003,Females,nan,Occupational exposures & hazards,Mesothelioma,6.0,90.0,,115.0,1669.0,,3.0,40.0,,118.0,1709.0,,
2003,Females,nan,Occupational exposures & hazards,Nasopharyngeal cancer,0.0,23.0,,1.0,539.0,,0.0,20.0,,1.0,559.0,,
2003,Females,nan,Occupational exposures & hazards,Other land transport injuries,0.0,29.0,,0.0,1527.0,,0.0,1223.0,,0.0,2750.0,,
2003,Females,nan,Occupational exposures & hazards,Other leukaemias,3.0,91.0,,49.0,1334.0,,3.0,79.0,,51.0,1413.0,,
2003,Females,nan,Occupational exposures & hazards,Other pneumoconiosis,0.0,0.0,,0.0,0.0,,15.0,15.0,,15.0,15.0,,
2003,Females,nan,Occupational exposures & hazards,Other unintentional injuries,5.0,178.0,,223.0,5648.0,,77.0,2158.0,,300.0,7806.0,,
2003,Females,nan,Occupational exposures & hazards,Ovarian cancer,1.0,824.0,,29.0,16960.0,,2.0,920.0,,30.0,17881.0,,
2003,Females,nan,Occupational exposures & hazards,Road traffic injuries - motor vehicle occupants,5.0,368.0,,236.0,16621.0,,56.0,1828.0,,292.0,18448.0,,
2003,Females,nan,Occupational exposures & hazards,Road traffic injuries - motorcyclists,0.0,15.0,,0.0,774.0,,0.0,155.0,,0.0,928.0,,
2003,Females,nan,Occupational exposures & hazards,Silicosis,0.0,0.0,,0.0,0.0,,4.0,4.0,,4.0,4.0,,
2003,Females,nan,Opioid use,Drug use disorders (excluding alcohol),11.0,40.0,,523.0,1996.0,,2116.0,8862.0,,2639.0,10858.0,,
2003,Females,nan,Opioid use,Poisoning,126.0,259.0,,5177.0,10811.0,,101.0,260.0,,5278.0,11071.0,,
2003,Females,nan,Opioid use,Road traffic injuries - motor vehicle occupants,1.0,368.0,,29.0,16621.0,,3.0,1828.0,,32.0,18448.0,,
2003,Females,nan,Opioid use,Road traffic injuries - motorcyclists,0.0,15.0,,2.0,774.0,,0.0,155.0,,2.0,928.0,,
2003,Females,nan,Opioid use,Suicide and self-inflicted injuries,5.0,509.0,,254.0,22298.0,,7.0,579.0,,261.0,22877.0,,
2003,Females,nan,Other illicit drug use,Drug use disorders (excluding alcohol),11.0,40.0,,521.0,1996.0,,2371.0,8862.0,,2892.0,10858.0,,
2003,Females,nan,Overweight (including obesity),Acute lymphoblastic leukaemia (ALL),6.0,62.0,,179.0,2378.0,,11.0,136.0,,189.0,2514.0,,
2003,Females,nan,Overweight (including obesity),Acute myeloid leukaemia (AML),30.0,286.0,,619.0,6046.0,,19.0,185.0,,638.0,6231.0,,
2003,Females,nan,Overweight (including obesity),Asthma,51.0,203.0,,998.0,3922.0,,11244.0,50352.0,,12242.0,54275.0,,
2003,Females,nan,Overweight (including obesity),Atrial fibrillation and flutter,123.0,612.0,,1051.0,4842.0,,2259.0,9440.0,,3310.0,14282.0,,
2003,Females,nan,Overweight (including obesity),Back pain and problems,0.0,29.0,,0.0,429.0,,6230.0,75184.0,,6230.0,75613.0,,
2003,Females,nan,Overweight (including obesity),Bowel cancer,124.0,2436.0,,2199.0,40038.0,,126.0,2416.0,,2325.0,42454.0,,
2003,Females,nan,Overweight (including obesity),Breast cancer,192.0,2813.0,,3907.0,63659.0,,468.0,6869.0,,4375.0,70527.0,,
2003,Females,nan,Overweight (including obesity),Cataract and other lens disorders,0.0,0.0,,0.0,0.0,,114.0,1485.0,,114.0,1485.0,,
2003,Females,nan,Overweight (including obesity),Chronic kidney disease,313.0,1085.0,,3868.0,11312.0,,1662.0,4697.0,,5529.0,16009.0,,
2003,Females,nan,Overweight (including obesity),Chronic lymphocytic leukaemia (CLL),11.0,114.0,,135.0,1225.0,,15.0,141.0,,151.0,1367.0,,
2003,Females,nan,Overweight (including obesity),Chronic myeloid leukaemia (CML),6.0,57.0,,102.0,931.0,,4.0,40.0,,106.0,971.0,,
2003,Females,nan,Overweight (including obesity),Coronary heart disease,1930.0,13483.0,,24404.0,127532.0,,6181.0,31109.0,,30585.0,158641.0,,
2003,Females,nan,Overweight (including obesity),Dementia,435.0,3284.0,,3441.0,24344.0,,5391.0,37462.0,,8832.0,61806.0,,
2003,Females,nan,Overweight (including obesity),Gallbladder and bile duct disease,58.0,159.0,,733.0,1866.0,,178.0,449.0,,910.0,2315.0,,
2003,Females,nan,Overweight (including obesity),Gallbladder cancer,47.0,185.0,,838.0,3085.0,,19.0,76.0,,857.0,3161.0,,
2003,Females,nan,Overweight (including obesity),Gout,3.0,12.0,,26.0,95.0,,418.0,1295.0,,444.0,1391.0,,
2003,Females,nan,Overweight (including obesity),Hypertensive heart disease,166.0,477.0,,1579.0,3973.0,,34.0,93.0,,1613.0,4066.0,,
2003,Females,nan,Overweight (including obesity),Kidney cancer,74.0,312.0,,1291.0,5212.0,,63.0,262.0,,1354.0,5474.0,,
2003,Females,nan,Overweight (including obesity),Liver cancer,43.0,301.0,,801.0,5456.0,,9.0,70.0,,811.0,5526.0,,
2003,Females,nan,Overweight (including obesity),Myeloma,27.0,356.0,,452.0,5402.0,,42.0,561.0,,494.0,5963.0,,
